home,away,ft
Melbourne,Canberra,"[0, 3]"
Sydney,Adelaide,"[5, 4]"
Perth,Brisbane,"[5, 0]"
Sydney,Adelaide,"[5, 0]"
Sydney,Adelaide,"[3, 6]"
Melbourne,Canberra,"[5, 1]"
Perth,Brisbane,"[5, 2]"
Perth,Brisbane,"[0, 7]"
Sydney,Adelaide,"[6, 4]"
Melbourne,Canberra,"[1, 9]"
Perth,Brisbane,"[0, 7]"
Melbourne,Canberra,"[6, 4]"
Adelaide,Canberra,"[1, 2]"
Perth,Sydney,"[2, 1]"
Brisbane,Melbourne,"[1, 3]"
Adelaide,Canberra,"[3, 2]"
Perth,Sydney,"[2, 6]"
Adelaide,Canberra,"[11, 4]"
Brisbane,Melbourne,"[3, 8]"
Perth,Sydney,"[3, 2]"
Brisbane,Melbourne,"[7, 6]"
Adelaide,Canberra,"[7, 4]"
Perth,Sydney,"[6, 12]"
Canberra,Brisbane,"[6, 0]"
Canberra,Brisbane,"[12, 3]"
Adelaide,Perth,"[4, 3]"
Sydney,Melbourne,"[8, 2]"
Adelaide,Perth,"[3, 9]"
Adelaide,Perth,"[2, 5]"
Canberra,Brisbane,"[4, 2]"
Sydney,Melbourne,"[5, 0]"
Adelaide,Perth,"[3, 11]"
Canberra,Brisbane,"[3, 2]"
Sydney,Melbourne,"[7, 1]"
Canberra,Sydney,"[5, 7]"
Melbourne,Perth,"[10, 2]"
Brisbane,Adelaide,"[5, 6]"
Melbourne,Perth,"[11, 8]"
Brisbane,Adelaide,"[5, 9]"
Canberra,Sydney,"[5, 1]"
Brisbane,Adelaide,"[5, 6]"
Canberra,Sydney,"[2, 3]"
Melbourne,Perth,"[10, 8]"
Brisbane,Adelaide,"[3, 0]"
Canberra,Sydney,"[2, 5]"
Melbourne,Perth,"[6, 2]"
Adelaide,Melbourne,"[6, 0]"
Adelaide,Melbourne,"[5, 4]"
Sydney,Brisbane,"[0, 3]"
Perth,Canberra,"[2, 6]"
Sydney,Brisbane,"[3, 6]"
Sydney,Brisbane,"[6, 2]"
Perth,Canberra,"[1, 0]"
Adelaide,Melbourne,"[4, 0]"
Perth,Canberra,"[1, 3]"
Sydney,Brisbane,"[6, 0]"
Adelaide,Melbourne,"[0, 1]"
Perth,Canberra,"[2, 12]"
Canberra,Melbourne,"[7, 4]"
Adelaide,Sydney,"[8, 6]"
Brisbane,Perth,"[3, 4]"
Canberra,Melbourne,"[8, 11]"
Adelaide,Sydney,"[3, 1]"
Brisbane,Perth,"[5, 16]"
Canberra,Melbourne,"[9, 5]"
Brisbane,Perth,"[3, 4]"
Canberra,Melbourne,"[4, 3]"
Adelaide,Sydney,"[0, 2]"
Brisbane,Perth,"[7, 1]"
Adelaide,Sydney,"[13, 2]"
Melbourne,Brisbane,"[7, 0]"
Melbourne,Brisbane,"[9, 2]"
Sydney,Canberra,"[4, 1]"
Perth,Adelaide,"[8, 4]"
Sydney,Canberra,"[4, 1]"
Brisbane,Melbourne,"[4, 2]"
Sydney,Canberra,"[5, 3]"
Melbourne,Brisbane,"[1, 5]"
Perth,Adelaide,"[2, 5]"
Perth,Adelaide,"[0, 8]"
Melbourne,Brisbane,"[6, 8]"
Sydney,Canberra,"[12, 2]"
Perth,Adelaide,"[4, 3]"
Brisbane,Sydney,"[6, 2]"
Canberra,Adelaide,"[5, 2]"
Perth,Melbourne,"[11, 5]"
Canberra,Adelaide,"[3, 5]"
Brisbane,Sydney,"[4, 6]"
Canberra,Adelaide,"[1, 8]"
Perth,Melbourne,"[5, 8]"
Brisbane,Sydney,"[9, 5]"
Perth,Melbourne,"[4, 5]"
Canberra,Adelaide,"[8, 5]"
Brisbane,Sydney,"[5, 9]"
Perth,Melbourne,"[14, 1]"
Canberra,Perth,"[3, 1]"
Melbourne,Sydney,"[9, 1]"
Adelaide,Brisbane,"[7, 0]"
Melbourne,Sydney,"[5, 4]"
Adelaide,Brisbane,"[5, 2]"
Canberra,Perth,"[1, 4]"
Canberra,Perth,"[0, 9]"
Sydney,Melbourne,"[9, 4]"
Melbourne,Sydney,"[0, 3]"
Adelaide,Brisbane,"[4, 6]"
Adelaide,Brisbane,"[3, 7]"
Canberra,Perth,"[1, 8]"
Melbourne,Sydney,"[8, 5]"
Melbourne,Adelaide,"[3, 6]"
Brisbane,Canberra,"[1, 0]"
Melbourne,Adelaide,"[16, 4]"
Sydney,Perth,"[8, 2]"
Sydney,Perth,"[2, 3]"
Brisbane,Canberra,"[7, 6]"
Sydney,Perth,"[12, 2]"
Melbourne,Adelaide,"[0, 9]"
Brisbane,Canberra,"[5, 2]"
Sydney,Perth,"[3, 4]"
Melbourne,Adelaide,"[7, 9]"
Brisbane,Canberra,"[2, 9]"
Sydney,Canberra,"[2, 3]"
Adelaide,Perth,"[1, 2]"
Sydney,Canberra,"[2, 5]"
Adelaide,Perth,"[3, 5]"
Canberra,Perth,"[10, 8]"
Perth,Canberra,"[0, 5]"
