home,away,ft
Doosan Bears,Kiwoom Heroes,"[12, 8]"
NC Dinos,KIA Tigers,"[3, 10]"
Hanwha Eagles,Samsung Lions,"[6, 2]"
Lotte Giants,SSG Landers,"[6, 1]"
KT Wiz Suwon,LG Twins,"[2, 5]"
Doosan Bears,Kiwoom Heroes,"[3, 1]"
NC Dinos,KIA Tigers,"[6, 4]"
Hanwha Eagles,Samsung Lions,"[1, 6]"
Lotte Giants,SSG Landers,"[13, 5]"
KT Wiz Suwon,LG Twins,"[3, 2]"
Hanwha Eagles,KIA Tigers,"[0, 3]"
KT Wiz Suwon,SSG Landers,"[0, 3]"
Lotte Giants,Doosan Bears,"[0, 3]"
NC Dinos,Kiwoom Heroes,"[9, 3]"
Samsung Lions,LG Twins,"[2, 5]"
Samsung Lions,LG Twins,"[0, 3]"
NC Dinos,Kiwoom Heroes,"[8, 7]"
KT Wiz Suwon,SSG Landers,"[8, 4]"
Hanwha Eagles,KIA Tigers,"[9, 1]"
Doosan Bears,KIA Tigers,"[7, 2]"
Hanwha Eagles,KT Wiz Suwon,"[6, 4]"
NC Dinos,LG Twins,"[6, 4]"
Samsung Lions,Lotte Giants,"[0, 7]"
SSG Landers,Kiwoom Heroes,"[4, 5]"
Samsung Lions,Lotte Giants,"[3, 2]"
Hanwha Eagles,KT Wiz Suwon,"[11, 11]"
NC Dinos,LG Twins,"[7, 11]"
Doosan Bears,KIA Tigers,"[5, 4]"
SSG Landers,Kiwoom Heroes,"[11, 6]"
KIA Tigers,KT Wiz Suwon,"[4, 5]"
LG Twins,Kiwoom Heroes,"[3, 1]"
Lotte Giants,Hanwha Eagles,"[2, 8]"
Samsung Lions,NC Dinos,"[3, 2]"
SSG Landers,Doosan Bears,"[1, 2]"
KIA Tigers,KT Wiz Suwon,"[14, 4]"
Samsung Lions,NC Dinos,"[2, 5]"
SSG Landers,Doosan Bears,"[6, 11]"
Lotte Giants,Hanwha Eagles,"[2, 14]"
Hanwha Eagles,Doosan Bears,"[0, 2]"
KT Wiz Suwon,Lotte Giants,"[3, 2]"
KIA Tigers,Samsung Lions,"[3, 8]"
SSG Landers,NC Dinos,"[3, 1]"
LG Twins,Kiwoom Heroes,"[12, 1]"
SSG Landers,NC Dinos,"[2, 7]"
KIA Tigers,Samsung Lions,"[9, 3]"
Hanwha Eagles,Doosan Bears,"[7, 7]"
KIA Tigers,Kiwoom Heroes,"[7, 5]"
KT Wiz Suwon,Samsung Lions,"[2, 6]"
LG Twins,Hanwha Eagles,"[8, 2]"
NC Dinos,Doosan Bears,"[4, 3]"
SSG Landers,Lotte Giants,"[5, 3]"
KT Wiz Suwon,Samsung Lions,"[8, 11]"
LG Twins,Hanwha Eagles,"[4, 8]"
NC Dinos,Doosan Bears,"[3, 6]"
SSG Landers,Lotte Giants,"[7, 6]"
KIA Tigers,Lotte Giants,"[2, 1]"
KT Wiz Suwon,Doosan Bears,"[5, 8]"
LG Twins,Samsung Lions,"[4, 3]"
NC Dinos,Kiwoom Heroes,"[10, 5]"
SSG Landers,Hanwha Eagles,"[0, 6]"
