home,away,ft
Yomiuri Giants,Hanshin Tigers,"[9, 4]"
Chunichi Dragons,Hiroshima Carp,"[0, 10]"
Yakult Swallows,Hanshin Tigers,"[1, 0]"
Nippon Ham Fighters,Yokohama BayStars,"[3, 3]"
Hiroshima Carp,Yomiuri Giants,"[1, 10]"
Chunichi Dragons,Rakuten Gold. Eagles,"[0, 3]"
Yokohama BayStars,Rakuten Gold. Eagles,"[4, 2]"
Chunichi Dragons,Hanshin Tigers,"[4, 1]"
Yomiuri Giants,Yakult Swallows,"[1, 2]"
Nippon Ham Fighters,Hiroshima Carp,"[3, 2]"
Rakuten Gold. Eagles,Hiroshima Carp,"[2, 4]"
Rakuten Gold. Eagles,Hiroshima Carp,"[3, 1]"
Fukuoka S. Hawks,Yokohama BayStars,"[5, 3]"
Chunichi Dragons,Yakult Swallows,"[3, 6]"
Nippon Ham Fighters,Hanshin Tigers,"[3, 2]"
Rakuten Gold. Eagles,Hiroshima Carp,"[2, 3]"
Nippon Ham Fighters,Hanshin Tigers,"[6, 5]"
Chunichi Dragons,Yakult Swallows,"[3, 3]"
Orix Buffaloes,Yokohama BayStars,"[4, 3]"
Yokohama BayStars,Chiba Lotte Marines,"[2, 2]"
Orix Buffaloes,Chunichi Dragons,"[2, 8]"
Fukuoka S. Hawks,Yakult Swallows,"[5, 4]"
Orix Buffaloes,Chunichi Dragons,"[1, 1]"
Yokohama BayStars,Chiba Lotte Marines,"[5, 0]"
Hanshin Tigers,Rakuten Gold. Eagles,"[2, 5]"
Fukuoka S. Hawks,Yakult Swallows,"[2, 0]"
Nippon Ham Fighters,Seibu Lions,"[7, 1]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[5, 3]"
Hanshin Tigers,Yakult Swallows,"[5, 6]"
Hiroshima Carp,Chunichi Dragons,"[0, 4]"
Yokohama BayStars,Nippon Ham Fighters,"[4, 4]"
Orix Buffaloes,Yomiuri Giants,"[3, 0]"
Yokohama BayStars,Seibu Lions,"[2, 2]"
Rakuten Gold. Eagles,Nippon Ham Fighters,"[3, 3]"
Hiroshima Carp,Chunichi Dragons,"[2, 2]"
Hanshin Tigers,Yakult Swallows,"[2, 5]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[5, 8]"
Orix Buffaloes,Yomiuri Giants,"[6, 4]"
Yokohama BayStars,Seibu Lions,"[1, 3]"
Rakuten Gold. Eagles,Nippon Ham Fighters,"[9, 3]"
Hiroshima Carp,Chunichi Dragons,"[0, 3]"
Hanshin Tigers,Yomiuri Giants,"[4, 5]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[1, 1]"
Orix Buffaloes,Yakult Swallows,"[3, 1]"
Seibu Lions,Chunichi Dragons,"[2, 1]"
Fukuoka S. Hawks,Yomiuri Giants,"[3, 2]"
Nippon Ham Fighters,Hiroshima Carp,"[4, 4]"
Yokohama BayStars,Yakult Swallows,"[13, 0]"
Seibu Lions,Chunichi Dragons,"[3, 2]"
Rakuten Gold. Eagles,Orix Buffaloes,"[1, 6]"
Chiba Lotte Marines,Hanshin Tigers,"[1, 6]"
Nippon Ham Fighters,Hiroshima Carp,"[1, 6]"
Fukuoka S. Hawks,Yomiuri Giants,"[2, 3]"
Nippon Ham Fighters,Hiroshima Carp,"[4, 4]"
Fukuoka S. Hawks,Yomiuri Giants,"[5, 0]"
Yokohama BayStars,Rakuten Gold. Eagles,"[0, 3]"
Chiba Lotte Marines,Orix Buffaloes,"[6, 7]"
Chunichi Dragons,Hanshin Tigers,"[0, 0]"
Fukuoka S. Hawks,Seibu Lions,"[1, 4]"
Yakult Swallows,Rakuten Gold. Eagles,"[1, 3]"
Chiba Lotte Marines,Orix Buffaloes,"[3, 0]"
Nippon Ham Fighters,Yomiuri Giants,"[5, 1]"
Hiroshima Carp,Yokohama BayStars,"[3, 2]"
Fukuoka S. Hawks,Seibu Lions,"[2, 1]"
Chunichi Dragons,Hanshin Tigers,"[4, 3]"
Yakult Swallows,Orix Buffaloes,"[6, 1]"
Nippon Ham Fighters,Yomiuri Giants,"[1, 5]"
Hiroshima Carp,Yokohama BayStars,"[2, 2]"
Fukuoka S. Hawks,Seibu Lions,"[9, 3]"
Chiba Lotte Marines,Rakuten Gold. Eagles,"[3, 5]"
Chunichi Dragons,Hanshin Tigers,"[4, 0]"
Chunichi Dragons,Rakuten Gold. Eagles,"[3, 2]"
Yakult Swallows,Nippon Ham Fighters,"[0, 4]"
Seibu Lions,Hiroshima Carp,"[3, 1]"
Yokohama BayStars,Orix Buffaloes,"[3, 0]"
Yomiuri Giants,Chiba Lotte Marines,"[3, 2]"
Fukuoka S. Hawks,Hanshin Tigers,"[9, 10]"
Fukuoka S. Hawks,Hanshin Tigers,"[4, 0]"
Seibu Lions,Hiroshima Carp,"[6, 5]"
Yakult Swallows,Nippon Ham Fighters,"[8, 2]"
Yokohama BayStars,Orix Buffaloes,"[7, 2]"
Yomiuri Giants,Chiba Lotte Marines,"[6, 0]"
Chunichi Dragons,Rakuten Gold. Eagles,"[1, 0]"
Orix Buffaloes,Hanshin Tigers,"[3, 0]"
Yomiuri Giants,Rakuten Gold. Eagles,"[1, 3]"
Seibu Lions,Yakult Swallows,"[2, 3]"
Nippon Ham Fighters,Yokohama BayStars,"[5, 3]"
Chunichi Dragons,Chiba Lotte Marines,"[4, 3]"
Fukuoka S. Hawks,Hiroshima Carp,"[2, 2]"
Fukuoka S. Hawks,Hiroshima Carp,"[5, 1]"
Chunichi Dragons,Chiba Lotte Marines,"[1, 1]"
Hanshin Tigers,Orix Buffaloes,"[4, 2]"
Nippon Ham Fighters,Yokohama BayStars,"[0, 1]"
Yomiuri Giants,Rakuten Gold. Eagles,"[1, 1]"
Seibu Lions,Yakult Swallows,"[0, 3]"
Nippon Ham Fighters,Yokohama BayStars,"[2, 3]"
Chunichi Dragons,Chiba Lotte Marines,"[2, 1]"
Hiroshima Carp,Fukuoka S. Hawks,"[3, 0]"
Orix Buffaloes,Hanshin Tigers,"[5, 2]"
Seibu Lions,Yakult Swallows,"[3, 5]"
Yomiuri Giants,Rakuten Gold. Eagles,"[6, 7]"
Rakuten Gold. Eagles,Seibu Lions,"[0, 1]"
Yakult Swallows,Chunichi Dragons,"[7, 4]"
Orix Buffaloes,Fukuoka S. Hawks,"[1, 3]"
Yomiuri Giants,Hanshin Tigers,"[4, 0]"
Chiba Lotte Marines,Nippon Ham Fighters,"[1, 4]"
Yokohama BayStars,Hiroshima Carp,"[4, 3]"
Orix Buffaloes,Fukuoka S. Hawks,"[2, 0]"
Chiba Lotte Marines,Nippon Ham Fighters,"[3, 0]"
Rakuten Gold. Eagles,Seibu Lions,"[2, 8]"
Yakult Swallows,Chunichi Dragons,"[1, 1]"
Yokohama BayStars,Hiroshima Carp,"[6, 1]"
Yomiuri Giants,Hanshin Tigers,"[5, 0]"
Orix Buffaloes,Fukuoka S. Hawks,"[2, 5]"
Rakuten Gold. Eagles,Seibu Lions,"[4, 3]"
Yakult Swallows,Chunichi Dragons,"[5, 2]"
Yokohama BayStars,Hiroshima Carp,"[1, 5]"
Yomiuri Giants,Hanshin Tigers,"[0, 5]"
Chiba Lotte Marines,Nippon Ham Fighters,"[2, 3]"
Hanshin Tigers,Yokohama BayStars,"[3, 5]"
Hiroshima Carp,Yakult Swallows,"[2, 1]"
Seibu Lions,Orix Buffaloes,"[2, 1]"
Chunichi Dragons,Yomiuri Giants,"[4, 3]"
Fukuoka S. Hawks,Chiba Lotte Marines,"[2, 0]"
Nippon Ham Fighters,Rakuten Gold. Eagles,"[2, 4]"
Seibu Lions,Orix Buffaloes,"[3, 0]"
Chunichi Dragons,Yomiuri Giants,"[5, 2]"
Hanshin Tigers,Yokohama BayStars,"[5, 2]"
Fukuoka S. Hawks,Chiba Lotte Marines,"[2, 4]"
Nippon Ham Fighters,Rakuten Gold. Eagles,"[4, 2]"
Seibu Lions,Orix Buffaloes,"[1, 2]"
Chunichi Dragons,Yomiuri Giants,"[0, 2]"
Fukuoka S. Hawks,Chiba Lotte Marines,"[8, 1]"
Hanshin Tigers,Yokohama BayStars,"[2, 3]"
Hiroshima Carp,Yakult Swallows,"[6, 3]"
Yomiuri Giants,Yokohama BayStars,"[1, 2]"
Yakult Swallows,Hanshin Tigers,"[6, 7]"
Nippon Ham Fighters,Seibu Lions,"[3, 2]"
Rakuten Gold. Eagles,Fukuoka S. Hawks,"[1, 6]"
Hiroshima Carp,Chunichi Dragons,"[0, 1]"
Chiba Lotte Marines,Orix Buffaloes,"[1, 0]"
Chiba Lotte Marines,Orix Buffaloes,"[1, 9]"
Hiroshima Carp,Chunichi Dragons,"[0, 4]"
Nippon Ham Fighters,Seibu Lions,"[2, 5]"
Rakuten Gold. Eagles,Fukuoka S. Hawks,"[4, 5]"
Yakult Swallows,Hanshin Tigers,"[3, 4]"
Yomiuri Giants,Yokohama BayStars,"[4, 6]"
Rakuten Gold. Eagles,Fukuoka S. Hawks,"[3, 2]"
Nippon Ham Fighters,Seibu Lions,"[1, 11]"
Yakult Swallows,Hanshin Tigers,"[3, 1]"
Hiroshima Carp,Chunichi Dragons,"[0, 1]"
Yomiuri Giants,Yokohama BayStars,"[3, 0]"
Chiba Lotte Marines,Orix Buffaloes,"[5, 2]"
Fukuoka S. Hawks,Nippon Ham Fighters,"[2, 4]"
Hanshin Tigers,Hiroshima Carp,"[1, 0]"
Orix Buffaloes,Rakuten Gold. Eagles,"[5, 4]"
Seibu Lions,Chiba Lotte Marines,"[0, 5]"
Yakult Swallows,Yomiuri Giants,"[1, 3]"
Yokohama BayStars,Chunichi Dragons,"[1, 3]"
Seibu Lions,Chiba Lotte Marines,"[2, 3]"
Yokohama BayStars,Chunichi Dragons,"[1, 6]"
Hanshin Tigers,Hiroshima Carp,"[2, 6]"
Orix Buffaloes,Rakuten Gold. Eagles,"[4, 5]"
Fukuoka S. Hawks,Nippon Ham Fighters,"[6, 3]"
Hanshin Tigers,Hiroshima Carp,"[0, 1]"
Orix Buffaloes,Rakuten Gold. Eagles,"[2, 1]"
Yakult Swallows,Yomiuri Giants,"[0, 5]"
Yokohama BayStars,Yakult Swallows,"[3, 1]"
Chunichi Dragons,Hanshin Tigers,"[2, 2]"
Orix Buffaloes,Nippon Ham Fighters,"[0, 1]"
Rakuten Gold. Eagles,Chiba Lotte Marines,"[5, 2]"
Seibu Lions,Fukuoka S. Hawks,"[1, 2]"
Yomiuri Giants,Hiroshima Carp,"[9, 4]"
Yokohama BayStars,Yakult Swallows,"[2, 5]"
Yomiuri Giants,Hiroshima Carp,"[3, 2]"
Seibu Lions,Fukuoka S. Hawks,"[2, 11]"
Chunichi Dragons,Hanshin Tigers,"[5, 2]"
Orix Buffaloes,Nippon Ham Fighters,"[5, 1]"
Rakuten Gold. Eagles,Chiba Lotte Marines,"[2, 2]"
Rakuten Gold. Eagles,Chiba Lotte Marines,"[2, 9]"
Seibu Lions,Fukuoka S. Hawks,"[1, 4]"
Chunichi Dragons,Hanshin Tigers,"[1, 2]"
Orix Buffaloes,Nippon Ham Fighters,"[6, 3]"
Yokohama BayStars,Yakult Swallows,"[0, 9]"
Yomiuri Giants,Hiroshima Carp,"[2, 1]"
Nippon Ham Fighters,Fukuoka S. Hawks,"[5, 1]"
Rakuten Gold. Eagles,Orix Buffaloes,"[6, 2]"
Hiroshima Carp,Yokohama BayStars,"[11, 2]"
Hanshin Tigers,Yomiuri Giants,"[1, 1]"
Chunichi Dragons,Yakult Swallows,"[3, 2]"
Chiba Lotte Marines,Seibu Lions,"[4, 3]"
Chiba Lotte Marines,Seibu Lions,"[2, 0]"
Chunichi Dragons,Yakult Swallows,"[2, 0]"
Hanshin Tigers,Yomiuri Giants,"[2, 0]"
Hiroshima Carp,Yokohama BayStars,"[5, 1]"
Nippon Ham Fighters,Fukuoka S. Hawks,"[4, 4]"
Rakuten Gold. Eagles,Orix Buffaloes,"[0, 5]"
Chunichi Dragons,Yakult Swallows,"[5, 11]"
Hanshin Tigers,Yomiuri Giants,"[2, 1]"
Rakuten Gold. Eagles,Orix Buffaloes,"[0, 7]"
Seibu Lions,Rakuten Gold. Eagles,"[5, 4]"
Yakult Swallows,Yokohama BayStars,"[4, 3]"
Hanshin Tigers,Chunichi Dragons,"[7, 0]"
Nippon Ham Fighters,Chiba Lotte Marines,"[4, 3]"
Hiroshima Carp,Yomiuri Giants,"[0, 0]"
Fukuoka S. Hawks,Orix Buffaloes,"[9, 7]"
Fukuoka S. Hawks,Orix Buffaloes,"[3, 3]"
Hanshin Tigers,Chunichi Dragons,"[15, 2]"
Hiroshima Carp,Yomiuri Giants,"[6, 2]"
Nippon Ham Fighters,Chiba Lotte Marines,"[2, 0]"
Seibu Lions,Rakuten Gold. Eagles,"[2, 8]"
Yakult Swallows,Yokohama BayStars,"[4, 7]"
Nippon Ham Fighters,Chiba Lotte Marines,"[5, 0]"
Fukuoka S. Hawks,Orix Buffaloes,"[1, 3]"
Hiroshima Carp,Yomiuri Giants,"[0, 0]"
Seibu Lions,Rakuten Gold. Eagles,"[0, 1]"
Hanshin Tigers,Chunichi Dragons,"[3, 0]"
Yakult Swallows,Yokohama BayStars,"[3, 8]"
Yokohama BayStars,Hanshin Tigers,"[1, 1]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[2, 4]"
Orix Buffaloes,Seibu Lions,"[2, 1]"
Rakuten Gold. Eagles,Nippon Ham Fighters,"[3, 4]"
Yakult Swallows,Hiroshima Carp,"[0, 2]"
Yomiuri Giants,Chunichi Dragons,"[2, 0]"
Yokohama BayStars,Hanshin Tigers,"[3, 5]"
Yomiuri Giants,Chunichi Dragons,"[2, 3]"
Orix Buffaloes,Seibu Lions,"[4, 3]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[1, 10]"
Chiba Lotte Marines,Fukuoka S. Hawks,"[0, 6]"
Orix Buffaloes,Seibu Lions,"[1, 3]"
Rakuten Gold. Eagles,Nippon Ham Fighters,"[5, 1]"
Yakult Swallows,Hiroshima Carp,"[9, 8]"
Yomiuri Giants,Chunichi Dragons,"[3, 2]"
Yokohama BayStars,Yomiuri Giants,"[7, 2]"
Hanshin Tigers,Yakult Swallows,"[2, 8]"
Yokohama BayStars,Yomiuri Giants,"[1, 2]"
Nippon Ham Fighters,Orix Buffaloes,"[9, 0]"
Fukuoka S. Hawks,Seibu Lions,"[2, 1]"
Hanshin Tigers,Yakult Swallows,"[5, 4]"
Chunichi Dragons,Hiroshima Carp,"[4, 6]"
Chiba Lotte Marines,Rakuten Gold. Eagles,"[1, 4]"
Fukuoka S. Hawks,Seibu Lions,"[3, 2]"
Nippon Ham Fighters,Orix Buffaloes,"[4, 5]"
Chunichi Dragons,Hiroshima Carp,"[0, 0]"
