home,away,ft
San Diego Padres,Los Angeles Dodgers,"[1, 14]"
Chicago Cubs,Chicago White Sox,"[8, 1]"
Texas Rangers,Kansas City Royals,"[5, 4]"
Los Angeles Dodgers,San Diego Padres,"[4, 1]"
Colorado Rockies,Arizona Diamondbacks,"[3, 0]"
Minnesota Twins,Pittsburgh Pirates,"[5, 3]"
St.Louis Cardinals,Miami Marlins,"[8, 9]"
Baltimore Orioles,Boston Red Sox,"[4, 3]"
Detroit Tigers,New York Yankees,"[10, 22]"
Tampa Bay Rays,Atlanta Braves,"[5, 6]"
Toronto Blue Jays,Philadelphia Phillies,"[13, 14]"
New York Mets,St.Louis Cardinals,"[5, 10]"
San Francisco Giants,Chicago Cubs,"[4, 8]"
Kansas City Royals,Texas Rangers,"[5, 4]"
Oakland Athletics,Colorado Rockies,"[1, 5]"
Chicago White Sox,Seattle Mariners,"[8, 7]"
Cleveland Guardians,Cincinnati Reds,"[0, 4]"
Los Angeles Angels,Los Angeles Dodgers,"[7, 7]"
San Diego Padres,Milwaukee Brewers,"[7, 11]"
Arizona Diamondbacks,Colorado Rockies,"[6, 2]"
Washington Nationals,Houston Astros,"[4, 7]"
New York Yankees,Toronto Blue Jays,"[12, 6]"
Philadelphia Phillies,New York Yankees,"[4, 0]"
Tampa Bay Rays,Detroit Tigers,"[9, 9]"
Pittsburgh Pirates,Baltimore Orioles,"[0, 2]"
Boston Red Sox,Minnesota Twins,"[8, 6]"
Houston Astros,St.Louis Cardinals,"[0, 3]"
Atlanta Braves,Boston Red Sox,"[4, 5]"
New York Mets,Houston Astros,"[3, 1]"
Miami Marlins,Washington Nationals,"[3, 6]"
Chicago Cubs,San Diego Padres,"[0, 7]"
Los Angeles Dodgers,Oakland Athletics,"[4, 2]"
Texas Rangers,San Francisco Giants,"[0, 0]"
Cincinnati Reds,Los Angeles Angels,"[9, 4]"
Los Angeles Angels,Kansas City Royals,"[0, 1]"
Milwaukee Brewers,Colorado Rockies,"[3, 10]"
Seattle Mariners,Cleveland Guardians,"[4, 8]"
Arizona Diamondbacks,Chicago White Sox,"[5, 0]"
New York Yankees,Minnesota Twins,"[9, 2]"
Washington Nationals,New York Mets,"[3, 6]"
Atlanta Braves,Baltimore Orioles,"[1, 2]"
Baltimore Orioles,Tampa Bay Rays,"[3, 8]"
Boston Red Sox,Philadelphia Phillies,"[7, 6]"
Detroit Tigers,Houston Astros,"[4, 0]"
Toronto Blue Jays,Pittsburgh Pirates,"[8, 4]"
Miami Marlins,St.Louis Cardinals,"[1, 1]"
Chicago White Sox,Texas Rangers,"[2, 4]"
San Francisco Giants,Los Angeles Angels,"[9, 11]"
Kansas City Royals,Chicago Cubs,"[6, 0]"
Oakland Athletics,Arizona Diamondbacks,"[9, 8]"
Cincinnati Reds,Seattle Mariners,"[0, 2]"
San Diego Padres,Cleveland Guardians,"[4, 7]"
Colorado Rockies,Los Angeles Dodgers,"[4, 9]"
Milwaukee Brewers,Cincinnati Reds,"[3, 8]"
Minnesota Twins,Philadelphia Phillies,"[3, 3]"
St.Louis Cardinals,Boston Red Sox,"[3, 3]"
Houston Astros,Washington Nationals,"[3, 10]"
Pittsburgh Pirates,Atlanta Braves,"[13, 4]"
Tampa Bay Rays,New York Yankees,"[4, 2]"
Detroit Tigers,Toronto Blue Jays,"[6, 4]"
Baltimore Orioles,Detroit Tigers,"[5, 2]"
New York Mets,Miami Marlins,"[7, 1]"
Los Angeles Dodgers,Chicago White Sox,"[9, 6]"
San Francisco Giants,Seattle Mariners,"[10, 10]"
Kansas City Royals,Colorado Rockies,"[4, 3]"
Chicago Cubs,Cincinnati Reds,"[6, 6]"
Cleveland Guardians,Oakland Athletics,"[2, 11]"
Los Angeles Angels,Milwaukee Brewers,"[6, 4]"
San Diego Padres,Kansas City Royals,"[6, 3]"
Arizona Diamondbacks,Texas Rangers,"[3, 10]"
Minnesota Twins,Baltimore Orioles,"[3, 12]"
Philadelphia Phillies,Atlanta Braves,"[7, 7]"
Washington Nationals,Boston Red Sox,"[4, 3]"
Pittsburgh Pirates,Detroit Tigers,"[3, 5]"
Toronto Blue Jays,Tampa Bay Rays,"[3, 2]"
New York Mets,St.Louis Cardinals,"[3, 0]"
Miami Marlins,Houston Astros,"[1, 6]"
Chicago White Sox,San Diego Padres,"[1, 3]"
Oakland Athletics,San Francisco Giants,"[7, 4]"
Texas Rangers,Los Angeles Dodgers,"[6, 4]"
Cleveland Guardians,Arizona Diamondbacks,"[6, 8]"
Seattle Mariners,Kansas City Royals,"[7, 9]"
Milwaukee Brewers,Chicago Cubs,"[1, 6]"
Colorado Rockies,Los Angeles Angels,"[3, 1]"
St.Louis Cardinals,Washington Nationals,"[1, 3]"
Tampa Bay Rays,Atlanta Braves,"[9, 12]"
Atlanta Braves,Minnesota Twins,"[5, 0]"
Boston Red Sox,Detroit Tigers,"[5, 2]"
Baltimore Orioles,Pittsburgh Pirates,"[9, 8]"
Toronto Blue Jays,Philadelphia Phillies,"[0, 5]"
Chicago Cubs,Colorado Rockies,"[9, 10]"
Chicago White Sox,Kansas City Royals,"[6, 1]"
Oakland Athletics,San Diego Padres,"[3, 5]"
Texas Rangers,Milwaukee Brewers,"[7, 5]"
Los Angeles Angels,Cleveland Guardians,"[4, 1]"
Seattle Mariners,Chicago White Sox,"[5, 6]"
Arizona Diamondbacks,San Francisco Giants,"[2, 1]"
Houston Astros,New York Mets,"[2, 1]"
New York Yankees,Miami Marlins,"[0, 0]"
Cincinnati Reds,Los Angeles Dodgers,"[5, 4]"
Washington Nationals,Houston Astros,"[8, 10]"
Philadelphia Phillies,Miami Marlins,"[6, 6]"
St.Louis Cardinals,New York Mets,"[3, 2]"
Minnesota Twins,Boston Red Sox,"[5, 3]"
Atlanta Braves,Baltimore Orioles,"[1, 3]"
Detroit Tigers,Philadelphia Phillies,"[4, 2]"
Pittsburgh Pirates,Tampa Bay Rays,"[12, 8]"
Chicago Cubs,Chicago White Sox,"[10, 6]"
Kansas City Royals,Oakland Athletics,"[5, 4]"
San Francisco Giants,Texas Rangers,"[11, 5]"
San Diego Padres,Los Angeles Angels,"[3, 5]"
Milwaukee Brewers,San Diego Padres,"[4, 3]"
Colorado Rockies,Seattle Mariners,"[10, 9]"
New York Yankees,Toronto Blue Jays,"[8, 4]"
Cincinnati Reds,Arizona Diamondbacks,"[8, 12]"
Los Angeles Dodgers,Cleveland Guardians,"[6, 4]"
Philadelphia Phillies,Minnesota Twins,"[3, 2]"
Houston Astros,St.Louis Cardinals,"[7, 1]"
Tampa Bay Rays,Boston Red Sox,"[2, 3]"
Detroit Tigers,Pittsburgh Pirates,"[3, 7]"
Boston Red Sox,Washington Nationals,"[4, 2]"
Baltimore Orioles,New York Yankees,"[7, 3]"
Toronto Blue Jays,Atlanta Braves,"[2, 6]"
Miami Marlins,New York Mets,"[4, 1]"
Texas Rangers,Chicago White Sox,"[14, 3]"
Los Angeles Dodgers,Chicago Cubs,"[8, 5]"
San Francisco Giants,San Diego Padres,"[2, 3]"
Cleveland Guardians,Kansas City Royals,"[12, 13]"
Los Angeles Angels,Arizona Diamondbacks,"[4, 1]"
Seattle Mariners,Oakland Athletics,"[8, 12]"
Milwaukee Brewers,Los Angeles Dodgers,"[3, 11]"
Colorado Rockies,Cincinnati Reds,"[10, 4]"
Minnesota Twins,Tampa Bay Rays,"[4, 4]"
New York Yankees,Detroit Tigers,"[2, 7]"
Pittsburgh Pirates,Baltimore Orioles,"[2, 5]"
Boston Red Sox,Toronto Blue Jays,"[3, 1]"
Atlanta Braves,Philadelphia Phillies,"[3, 2]"
New York Mets,Houston Astros,"[2, 5]"
Oakland Athletics,Texas Rangers,"[5, 2]"
Kansas City Royals,Cincinnati Reds,"[7, 3]"
Los Angeles Dodgers,Colorado Rockies,"[7, 4]"
Chicago Cubs,Cleveland Guardians,"[5, 3]"
Cleveland Guardians,San Francisco Giants,"[5, 6]"
Los Angeles Angels,Chicago White Sox,"[3, 1]"
San Diego Padres,Seattle Mariners,"[12, 4]"
