home,away,ft
Buffalo Bisons,Scranton/WB,"[9, 12]"
Syracuse Mets,Rochester Red Wings,"[6, 3]"
Memphis Redbirds,Charlotte Knights,"[6, 5]"
Toledo Mud Hens,Nashville Sounds,"[4, 2]"
Lehigh Valley IronPigs,Worcester,"[7, 4]"
Norfolk Tides,Durham Bulls,"[12, 8]"
Omaha Storm Chasers,Iowa Cubs,"[5, 4]"
Jacksonville Jumbo Shrimp,Gwinnett Stripers,"[5, 4]"
Louisville Bats,Indianapolis Indians,"[9, 8]"
Syracuse Mets,Rochester Red Wings,"[2, 6]"
Buffalo Bisons,Scranton/WB,"[3, 4]"
Memphis Redbirds,Charlotte Knights,"[10, 3]"
Louisville Bats,Indianapolis Indians,"[4, 3]"
Omaha Storm Chasers,Iowa Cubs,"[7, 6]"
Toledo Mud Hens,Nashville Sounds,"[4, 2]"
Lehigh Valley IronPigs,Worcester,"[2, 5]"
St. Paul,Columbus Clippers,"[8, 1]"
Norfolk Tides,Durham Bulls,"[12, 6]"
Jacksonville Jumbo Shrimp,Gwinnett Stripers,"[1, 4]"
Syracuse Mets,Rochester Red Wings,"[2, 7]"
Norfolk Tides,Durham Bulls,"[5, 17]"
Louisville Bats,Indianapolis Indians,"[4, 6]"
Buffalo Bisons,Scranton/WB,"[4, 3]"
Lehigh Valley IronPigs,Worcester,"[2, 6]"
Toledo Mud Hens,Nashville Sounds,"[0, 12]"
Memphis Redbirds,Charlotte Knights,"[2, 6]"
Omaha Storm Chasers,Iowa Cubs,"[0, 2]"
Jacksonville Jumbo Shrimp,Gwinnett Stripers,"[0, 10]"
St. Paul,Columbus Clippers,"[5, 4]"
Worcester,Buffalo Bisons,"[0, 2]"
Indianapolis Indians,Memphis Redbirds,"[2, 7]"
Durham Bulls,Jacksonville Jumbo Shrimp,"[3, 5]"
Charlotte Knights,Norfolk Tides,"[6, 10]"
Gwinnett Stripers,Louisville Bats,"[1, 2]"
Nashville Sounds,St. Paul,"[5, 4]"
Iowa Cubs,Toledo Mud Hens,"[5, 4]"
Iowa Cubs,Toledo Mud Hens,"[6, 7]"
Columbus Clippers,Omaha Storm Chasers,"[3, 0]"
Charlotte Knights,Norfolk Tides,"[11, 26]"
Durham Bulls,Jacksonville Jumbo Shrimp,"[6, 4]"
Gwinnett Stripers,Louisville Bats,"[7, 0]"
Nashville Sounds,St. Paul,"[5, 6]"
Columbus Clippers,Omaha Storm Chasers,"[3, 0]"
Scranton/WB,Syracuse Mets,"[4, 5]"
Durham Bulls,Jacksonville Jumbo Shrimp,"[3, 4]"
Charlotte Knights,Norfolk Tides,"[8, 9]"
Gwinnett Stripers,Louisville Bats,"[4, 5]"
Nashville Sounds,St. Paul,"[4, 3]"
Iowa Cubs,Toledo Mud Hens,"[5, 1]"
Indianapolis Indians,Memphis Redbirds,"[7, 5]"
Columbus Clippers,Omaha Storm Chasers,"[4, 5]"
Worcester,Buffalo Bisons,"[9, 7]"
Columbus Clippers,Omaha Storm Chasers,"[8, 5]"
Scranton/WB,Syracuse Mets,"[8, 4]"
Durham Bulls,Jacksonville Jumbo Shrimp,"[6, 9]"
Worcester,Buffalo Bisons,"[0, 5]"
Charlotte Knights,Norfolk Tides,"[10, 11]"
Indianapolis Indians,Memphis Redbirds,"[8, 3]"
Gwinnett Stripers,Louisville Bats,"[6, 5]"
