home,away,ft
Sarmiento Junin,Instituto Cordoba,"[1, 2]"
Newells Old Boys,Platense,"[2, 0]"
Argentinos JRS,Rosario Central,"[3, 2]"
Huracan,Defensa Y Justicia,"[3, 1]"
Godoy Cruz,Barracas Central,"[0, 1]"
Independiente,Talleres Cordoba,"[1, 3]"
River Plate,Central Cordoba de Santiago,"[3, 0]"
Tigre,Estudiantes L.P.,"[0, 1]"
Deportivo Riestra,San Lorenzo,"[1, 0]"
Belgrano Cordoba,Racing Club,"[4, 4]"
Lanus,Independ. Rivadavia,"[0, 2]"
Atletico Tucuman,Boca Juniors,"[1, 0]"
Gimnasia L.P.,Velez Sarsfield,"[3, 1]"
Union Santa Fe,Banfield,"[1, 0]"
Independ. Rivadavia,Godoy Cruz,"[0, 0]"
River Plate,Belgrano Cordoba,"[3, 0]"
Defensa Y Justicia,Gimnasia L.P.,"[1, 1]"
Instituto Cordoba,Union Santa Fe,"[1, 1]"
Barracas Central,Sarmiento Junin,"[1, 1]"
Platense,Independiente,"[0, 0]"
Banfield,Huracan,"[1, 1]"
Talleres Cordoba,Atletico Tucuman,"[2, 0]"
Central Cordoba de Santiago,Boca Juniors,"[2, 4]"
Estudiantes L.P.,Deportivo Riestra,"[2, 0]"
San Lorenzo,Lanus,"[1, 1]"
Racing Club,Argentinos JRS,"[3, 0]"
Rosario Central,Tigre,"[1, 1]"
Velez Sarsfield,Newells Old Boys,"[1, 0]"
Deportivo Riestra,Rosario Central,"[0, 2]"
Tigre,Racing Club,"[0, 4]"
Belgrano Cordoba,Central Cordoba de Santiago,"[2, 1]"
Lanus,Estudiantes L.P.,"[2, 1]"
Argentinos JRS,River Plate,"[1, 0]"
Newells Old Boys,Defensa Y Justicia,"[1, 0]"
Boca Juniors,Talleres Cordoba,"[0, 0]"
Huracan,Instituto Cordoba,"[1, 0]"
Sarmiento Junin,Independ. Rivadavia,"[0, 1]"
Gimnasia L.P.,Banfield,"[3, 0]"
Independiente,Velez Sarsfield,"[1, 1]"
Union Santa Fe,Barracas Central,"[2, 0]"
Atletico Tucuman,Platense,"[1, 1]"
Racing Club,Deportivo Riestra,"[1, 0]"
Velez Sarsfield,Atletico Tucuman,"[1, 1]"
Belgrano Cordoba,Argentinos JRS,"[1, 0]"
Platense,Boca Juniors,"[1, 0]"
Rosario Central,Lanus,"[1, 1]"
Central Cordoba de Santiago,Talleres Cordoba,"[2, 4]"
River Plate,Tigre,"[3, 1]"
Instituto Cordoba,Gimnasia L.P.,"[2, 1]"
San Lorenzo,Sarmiento Junin,"[0, 1]"
Defensa Y Justicia,Independiente,"[0, 0]"
Estudiantes L.P.,Godoy Cruz,"[1, 1]"
Barracas Central,Huracan,"[0, 2]"
Banfield,Newells Old Boys,"[2, 0]"
Independ. Rivadavia,Union Santa Fe,"[0, 1]"
Godoy Cruz,Rosario Central,"[1, 1]"
Argentinos JRS,Central Cordoba de Santiago,"[2, 1]"
Gimnasia L.P.,Barracas Central,"[2, 1]"
Independiente,Banfield,"[2, 1]"
Deportivo Riestra,River Plate,"[2, 0]"
Tigre,Belgrano Cordoba,"[1, 1]"
Sarmiento Junin,Estudiantes L.P.,"[2, 0]"
Lanus,Racing Club,"[2, 0]"
Newells Old Boys,Instituto Cordoba,"[0, 2]"
Boca Juniors,Velez Sarsfield,"[1, 0]"
Talleres Cordoba,Platense,"[2, 1]"
Union Santa Fe,San Lorenzo,"[2, 1]"
Huracan,Independ. Rivadavia,"[1, 0]"
Atletico Tucuman,Defensa Y Justicia,"[1, 1]"
Argentinos JRS,Tigre,"[0, 2]"
Independ. Rivadavia,Gimnasia L.P.,"[1, 0]"
Instituto Cordoba,Independiente,"[3, 1]"
Barracas Central,Newells Old Boys,"[0, 1]"
Belgrano Cordoba,Deportivo Riestra,"[2, 1]"
Rosario Central,Sarmiento Junin,"[4, 2]"
San Lorenzo,Huracan,"[1, 1]"
Racing Club,Godoy Cruz,"[3, 0]"
Banfield,Atletico Tucuman,"[1, 1]"
River Plate,Lanus,"[2, 2]"
Estudiantes L.P.,Union Santa Fe,"[0, 0]"
Central Cordoba de Santiago,Platense,"[0, 2]"
Velez Sarsfield,Talleres Cordoba,"[3, 0]"
Defensa Y Justicia,Boca Juniors,"[2, 2]"
Deportivo Riestra,Argentinos JRS,"[2, 0]"
Gimnasia L.P.,San Lorenzo,"[0, 1]"
Newells Old Boys,Independ. Rivadavia,"[0, 0]"
Independiente,Barracas Central,"[0, 0]"
Talleres Cordoba,Defensa Y Justicia,"[1, 1]"
Sarmiento Junin,Racing Club,"[1, 0]"
Godoy Cruz,River Plate,"[2, 1]"
Huracan,Estudiantes L.P.,"[0, 0]"
Lanus,Belgrano Cordoba,"[3, 2]"
Platense,Velez Sarsfield,"[0, 2]"
Tigre,Central Cordoba de Santiago,"[1, 1]"
Atletico Tucuman,Instituto Cordoba,"[1, 0]"
Independ. Rivadavia,Independiente,"[1, 0]"
San Lorenzo,Newells Old Boys,"[1, 1]"
Rosario Central,Huracan,"[0, 1]"
Banfield,Talleres Cordoba,"[1, 1]"
Estudiantes L.P.,Gimnasia L.P.,"[4, 1]"
Racing Club,Union Santa Fe,"[2, 1]"
River Plate,Sarmiento Junin,"[1, 0]"
Instituto Cordoba,Boca Juniors,"[0, 0]"
Barracas Central,Atletico Tucuman,"[0, 2]"
Defensa Y Justicia,Platense,"[1, 3]"
Tigre,Deportivo Riestra,"[2, 1]"
Central Cordoba de Santiago,Velez Sarsfield,"[0, 2]"
Belgrano Cordoba,Godoy Cruz,"[1, 0]"
Argentinos JRS,Lanus,"[2, 0]"
Union Santa Fe,Rosario Central,"[1, 0]"
Boca Juniors,Banfield,"[3, 0]"
Newells Old Boys,Estudiantes L.P.,"[1, 4]"
Velez Sarsfield,Defensa Y Justicia,"[3, 0]"
Godoy Cruz,Argentinos JRS,"[1, 0]"
Talleres Cordoba,Instituto Cordoba,"[1, 1]"
Independiente,San Lorenzo,"[0, 0]"
Huracan,Racing Club,"[0, 0]"
Union Santa Fe,River Plate,"[0, 0]"
Sarmiento Junin,Belgrano Cordoba,"[0, 0]"
Boca Juniors,Barracas Central,"[1, 1]"
Lanus,Tigre,"[3, 2]"
Atletico Tucuman,Independ. Rivadavia,"[2, 1]"
Deportivo Riestra,Central Cordoba de Santiago,"[1, 0]"
Gimnasia L.P.,Rosario Central,"[0, 1]"
Platense,Banfield,"[0, 1]"
Argentinos JRS,Sarmiento Junin,"[0, 0]"
Deportivo Riestra,Lanus,"[3, 1]"
Barracas Central,Talleres Cordoba,"[1, 1]"
Belgrano Cordoba,Union Santa Fe,"[1, 1]"
Racing Club,Gimnasia L.P.,"[0, 1]"
San Lorenzo,Atletico Tucuman,"[0, 1]"
Rosario Central,Newells Old Boys,"[1, 0]"
Independ. Rivadavia,Boca Juniors,"[1, 1]"
River Plate,Huracan,"[1, 1]"
Instituto Cordoba,Platense,"[2, 0]"
Central Cordoba de Santiago,Defensa Y Justicia,"[2, 0]"
Banfield,Velez Sarsfield,"[2, 2]"
