home,away,ft
Borussia Mönchengladbach,Bayer Leverkusen,"[2, 3]"
SC Freiburg,VfB Stuttgart,"[3, 1]"
FSV Mainz 05,Union Berlin,"[1, 1]"
1899 Hoffenheim,Holstein Kiel,"[3, 2]"
FC Augsburg,Werder Bremen,"[2, 2]"
RB Leipzig,VfL Bochum,"[1, 0]"
Borussia Dortmund,Eintracht Frankfurt,"[2, 0]"
VfL Wolfsburg,Bayern München,"[2, 3]"
FC St. Pauli,1. FC Heidenheim,"[0, 2]"
Union Berlin,FC St. Pauli,"[1, 0]"
Werder Bremen,Borussia Dortmund,"[0, 0]"
Eintracht Frankfurt,1899 Hoffenheim,"[3, 1]"
VfB Stuttgart,FSV Mainz 05,"[3, 3]"
VfL Bochum,Borussia Mönchengladbach,"[0, 2]"
Holstein Kiel,VfL Wolfsburg,"[0, 2]"
Bayer Leverkusen,RB Leipzig,"[2, 3]"
1. FC Heidenheim,FC Augsburg,"[4, 0]"
Bayern München,SC Freiburg,"[2, 0]"
Borussia Dortmund,1. FC Heidenheim,"[4, 2]"
SC Freiburg,VfL Bochum,"[2, 1]"
VfL Wolfsburg,Eintracht Frankfurt,"[1, 2]"
Borussia Mönchengladbach,VfB Stuttgart,"[1, 3]"
1899 Hoffenheim,Bayer Leverkusen,"[1, 4]"
RB Leipzig,Union Berlin,"[0, 0]"
Holstein Kiel,Bayern München,"[1, 6]"
FC Augsburg,FC St. Pauli,"[3, 1]"
FSV Mainz 05,Werder Bremen,"[1, 2]"
FC Augsburg,FSV Mainz 05,"[2, 3]"
Werder Bremen,Bayern München,"[0, 5]"
VfL Bochum,Holstein Kiel,"[2, 2]"
1. FC Heidenheim,SC Freiburg,"[0, 3]"
Union Berlin,1899 Hoffenheim,"[2, 1]"
Eintracht Frankfurt,Borussia Mönchengladbach,"[2, 0]"
Bayer Leverkusen,VfL Wolfsburg,"[4, 3]"
VfB Stuttgart,Borussia Dortmund,"[5, 1]"
FC St. Pauli,RB Leipzig,"[0, 0]"
Borussia Dortmund,VfL Bochum,"[4, 2]"
SC Freiburg,FC St. Pauli,"[0, 3]"
VfL Wolfsburg,VfB Stuttgart,"[2, 2]"
Borussia Mönchengladbach,Union Berlin,"[1, 0]"
FSV Mainz 05,1. FC Heidenheim,"[0, 2]"
RB Leipzig,FC Augsburg,"[4, 0]"
Bayern München,Bayer Leverkusen,"[1, 1]"
Holstein Kiel,Eintracht Frankfurt,"[2, 4]"
1899 Hoffenheim,Werder Bremen,"[3, 4]"
