home,away,ft
Manchester United,Fulham,"[1, 0]"
Ipswich,Liverpool,"[0, 2]"
Newcastle,Southampton,"[1, 0]"
Arsenal,Wolves,"[2, 0]"
Everton,Brighton,"[0, 3]"
Nottingham Forest,Bournemouth,"[1, 1]"
West Ham,Aston Villa,"[1, 2]"
Brentford,Crystal Palace,"[2, 1]"
Chelsea,Manchester City,"[0, 2]"
Leicester,Tottenham,"[1, 1]"
Brighton,Manchester United,"[2, 1]"
Fulham,Leicester,"[2, 1]"
Southampton,Nottingham Forest,"[0, 1]"
Tottenham,Everton,"[4, 0]"
Manchester City,Ipswich,"[4, 1]"
Crystal Palace,West Ham,"[0, 2]"
Aston Villa,Arsenal,"[0, 2]"
Bournemouth,Newcastle,"[1, 1]"
Wolves,Chelsea,"[2, 6]"
Liverpool,Brentford,"[2, 0]"
Arsenal,Brighton,"[1, 1]"
Everton,Bournemouth,"[2, 3]"
Leicester,Aston Villa,"[1, 2]"
Brentford,Southampton,"[3, 1]"
Ipswich,Fulham,"[1, 1]"
Nottingham Forest,Wolves,"[1, 1]"
West Ham,Manchester City,"[1, 3]"
Newcastle,Tottenham,"[2, 1]"
Chelsea,Crystal Palace,"[1, 1]"
Manchester United,Liverpool,"[0, 3]"
Southampton,Manchester United,"[0, 3]"
Fulham,West Ham,"[1, 1]"
Liverpool,Nottingham Forest,"[0, 1]"
Manchester City,Brentford,"[2, 1]"
Brighton,Ipswich,"[0, 0]"
Crystal Palace,Leicester,"[2, 2]"
Aston Villa,Everton,"[3, 2]"
Bournemouth,Chelsea,"[0, 1]"
Tottenham,Arsenal,"[0, 1]"
Wolves,Newcastle,"[1, 2]"
West Ham,Chelsea,"[0, 3]"
Fulham,Newcastle,"[3, 1]"
Liverpool,Bournemouth,"[3, 0]"
Southampton,Ipswich,"[1, 1]"
Leicester,Everton,"[1, 1]"
Tottenham,Brentford,"[3, 1]"
Aston Villa,Wolves,"[3, 1]"
Crystal Palace,Manchester United,"[0, 0]"
Brighton,Nottingham Forest,"[2, 2]"
Manchester City,Arsenal,"[2, 2]"
Newcastle,Manchester City,"[1, 1]"
Arsenal,Leicester,"[4, 2]"
Everton,Crystal Palace,"[2, 1]"
Chelsea,Brighton,"[4, 2]"
Brentford,West Ham,"[1, 1]"
Nottingham Forest,Fulham,"[0, 1]"
Wolves,Liverpool,"[1, 2]"
Ipswich,Aston Villa,"[2, 2]"
Manchester United,Tottenham,"[0, 3]"
Bournemouth,Southampton,"[3, 1]"
Crystal Palace,Liverpool,"[0, 1]"
Arsenal,Southampton,"[3, 1]"
Leicester,Bournemouth,"[1, 0]"
West Ham,Ipswich,"[4, 1]"
Manchester City,Fulham,"[3, 2]"
Brentford,Wolves,"[5, 3]"
Everton,Newcastle,"[0, 0]"
Chelsea,Nottingham Forest,"[1, 1]"
Aston Villa,Manchester United,"[0, 0]"
Brighton,Tottenham,"[3, 2]"
Tottenham,West Ham,"[4, 1]"
Manchester United,Brentford,"[2, 1]"
Newcastle,Brighton,"[0, 1]"
Fulham,Aston Villa,"[1, 3]"
Southampton,Leicester,"[2, 3]"
Ipswich,Everton,"[0, 2]"
Bournemouth,Arsenal,"[2, 0]"
Wolves,Manchester City,"[1, 2]"
Liverpool,Chelsea,"[2, 1]"
Nottingham Forest,Crystal Palace,"[1, 0]"
Leicester,Nottingham Forest,"[1, 3]"
Manchester City,Southampton,"[1, 0]"
Brighton,Wolves,"[2, 2]"
Brentford,Ipswich,"[4, 3]"
Aston Villa,Bournemouth,"[1, 1]"
Everton,Fulham,"[1, 1]"
West Ham,Manchester United,"[2, 1]"
Chelsea,Newcastle,"[2, 1]"
Crystal Palace,Tottenham,"[1, 0]"
Arsenal,Liverpool,"[2, 2]"
Newcastle,Arsenal,"[1, 0]"
Bournemouth,Manchester City,"[2, 1]"
