home,away,ft
Groningen,NAC Breda,"[4, 1]"
Feyenoord,Willem II,"[1, 1]"
NEC Nijmegen,Twente,"[1, 2]"
Almere City FC,AZ Alkmaar,"[0, 1]"
PSV Eindhoven,Waalwijk,"[5, 1]"
Sparta Rotterdam,Heracles,"[0, 0]"
Utrecht,PEC Zwolle,"[1, 0]"
GO Ahead Eagles,Fortuna Sittard,"[0, 2]"
Ajax,Heerenveen,"[1, 0]"
Fortuna Sittard,Almere City FC,"[3, 0]"
Heerenveen,Utrecht,"[1, 1]"
Twente,Sparta Rotterdam,"[1, 1]"
AZ Alkmaar,NEC Nijmegen,"[1, 0]"
Waalwijk,Groningen,"[1, 2]"
Heracles,PSV Eindhoven,"[1, 3]"
PEC Zwolle,Feyenoord,"[1, 5]"
Willem II,GO Ahead Eagles,"[2, 0]"
NAC Breda,Ajax,"[2, 1]"
NEC Nijmegen,PEC Zwolle,"[1, 0]"
Almere City FC,PSV Eindhoven,"[1, 7]"
NAC Breda,Utrecht,"[1, 2]"
Groningen,AZ Alkmaar,"[0, 0]"
Heracles,Willem II,"[1, 1]"
Sparta Rotterdam,Feyenoord,"[1, 1]"
GO Ahead Eagles,Waalwijk,"[2, 0]"
Waalwijk,AZ Alkmaar,"[0, 3]"
Almere City FC,Groningen,"[1, 1]"
Fortuna Sittard,NEC Nijmegen,"[0, 3]"
Heerenveen,NAC Breda,"[4, 0]"
Willem II,Sparta Rotterdam,"[1, 2]"
Utrecht,Twente,"[2, 1]"
PEC Zwolle,Heracles,"[3, 0]"
PSV Eindhoven,GO Ahead Eagles,"[3, 0]"
PSV Eindhoven,NEC Nijmegen,"[2, 0]"
Twente,PEC Zwolle,"[1, 1]"
Groningen,Feyenoord,"[2, 2]"
NAC Breda,Fortuna Sittard,"[1, 0]"
AZ Alkmaar,Heerenveen,"[9, 1]"
Sparta Rotterdam,GO Ahead Eagles,"[1, 2]"
Willem II,Waalwijk,"[3, 0]"
Heracles,Almere City FC,"[0, 0]"
Twente,Heerenveen,"[2, 0]"
Ajax,Fortuna Sittard,"[5, 0]"
PEC Zwolle,AZ Alkmaar,"[1, 2]"
Utrecht,Willem II,"[3, 2]"
Waalwijk,Sparta Rotterdam,"[1, 2]"
GO Ahead Eagles,Ajax,"[1, 1]"
NEC Nijmegen,Heracles,"[1, 2]"
Heerenveen,Groningen,"[2, 1]"
Feyenoord,NAC Breda,"[2, 0]"
Almere City FC,Twente,"[0, 5]"
Fortuna Sittard,PSV Eindhoven,"[1, 3]"
Heracles,Heerenveen,"[2, 1]"
Willem II,PSV Eindhoven,"[0, 2]"
NEC Nijmegen,Feyenoord,"[1, 1]"
Sparta Rotterdam,Fortuna Sittard,"[1, 1]"
PEC Zwolle,Almere City FC,"[1, 0]"
Groningen,GO Ahead Eagles,"[0, 1]"
Twente,NAC Breda,"[1, 0]"
Waalwijk,Ajax,"[0, 2]"
