home,away,ft
Puebla,Santos Laguna,"[1, 0]"
Club Queretaro,Club Tijuana,"[1, 2]"
FC Juarez,Atlas,"[2, 2]"
Atletico San Luis,Club America,"[2, 1]"
Guadalajara Chivas,Toluca,"[0, 0]"
Tigres UANL,Necaxa,"[1, 0]"
Cruz Azul,Mazatlán,"[1, 0]"
U.N.A.M. - Pumas,Leon,"[4, 1]"
Pachuca,Monterrey,"[0, 1]"
Club America,Club Queretaro,"[3, 1]"
Club Tijuana,Guadalajara Chivas,"[4, 2]"
Mazatlán,Atletico San Luis,"[2, 2]"
Atlas,Tigres UANL,"[1, 1]"
Necaxa,Puebla,"[4, 1]"
Leon,Pachuca,"[0, 0]"
Toluca,FC Juarez,"[3, 2]"
Santos Laguna,U.N.A.M. - Pumas,"[1, 1]"
Monterrey,Cruz Azul,"[0, 4]"
Atlas,Santos Laguna,"[1, 0]"
Club Queretaro,Guadalajara Chivas,"[0, 2]"
Pachuca,Atletico San Luis,"[2, 0]"
Puebla,Leon,"[2, 2]"
Cruz Azul,Club Tijuana,"[3, 0]"
Necaxa,Monterrey,"[0, 1]"
FC Juarez,U.N.A.M. - Pumas,"[1, 2]"
Tigres UANL,Club America,"[1, 0]"
Toluca,Mazatlán,"[3, 0]"
Atletico San Luis,Club Tijuana,"[1, 1]"
Puebla,Atlas,"[1, 2]"
Guadalajara Chivas,Mazatlán,"[2, 0]"
Monterrey,Club Queretaro,"[2, 1]"
Santos Laguna,Tigres UANL,"[0, 3]"
Cruz Azul,Toluca,"[1, 1]"
FC Juarez,Club America,"[1, 2]"
U.N.A.M. - Pumas,Pachuca,"[2, 0]"
Leon,Necaxa,"[1, 1]"
Puebla,Monterrey,"[1, 2]"
Club Tijuana,Santos Laguna,"[3, 1]"
Atletico San Luis,Club Queretaro,"[4, 0]"
Club Queretaro,Cruz Azul,"[0, 2]"
Mazatlán,Pachuca,"[3, 0]"
Club Tijuana,Monterrey,"[2, 2]"
Necaxa,FC Juarez,"[3, 0]"
Tigres UANL,Guadalajara Chivas,"[1, 1]"
Atlas,U.N.A.M. - Pumas,"[2, 1]"
Leon,Santos Laguna,"[1, 1]"
Club America,Puebla,"[0, 1]"
Toluca,Atletico San Luis,"[2, 1]"
Atletico San Luis,Atlas,"[2, 1]"
