home,away,ft
Le Havre,Paris Saint Germain,"[1, 4]"
Stade Brestois 29,Marseille,"[1, 5]"
Reims,Lille,"[0, 2]"
Monaco,Saint Etienne,"[1, 0]"
Auxerre,Nice,"[2, 1]"
Angers,Lens,"[0, 1]"
Montpellier,Strasbourg,"[1, 1]"
Toulouse,Nantes,"[0, 0]"
Rennes,Lyon,"[3, 0]"
Paris Saint Germain,Montpellier,"[6, 0]"
Lyon,Monaco,"[0, 2]"
Lille,Angers,"[2, 0]"
Saint Etienne,Le Havre,"[0, 2]"
Lens,Stade Brestois 29,"[2, 0]"
Nantes,Auxerre,"[2, 0]"
Nice,Toulouse,"[1, 1]"
Strasbourg,Rennes,"[3, 1]"
Marseille,Reims,"[2, 2]"
Lyon,Strasbourg,"[4, 3]"
Stade Brestois 29,Saint Etienne,"[4, 0]"
Montpellier,Nantes,"[1, 3]"
Toulouse,Marseille,"[1, 3]"
Monaco,Lens,"[1, 1]"
Angers,Nice,"[1, 4]"
Reims,Rennes,"[2, 1]"
Le Havre,Auxerre,"[3, 1]"
Lille,Paris Saint Germain,"[1, 3]"
Saint Etienne,Lille,"[1, 0]"
Marseille,Nice,"[2, 0]"
Auxerre,Monaco,"[0, 3]"
Paris Saint Germain,Stade Brestois 29,"[3, 1]"
Rennes,Montpellier,"[3, 0]"
Nantes,Reims,"[1, 2]"
Strasbourg,Angers,"[1, 1]"
Toulouse,Le Havre,"[2, 0]"
Lens,Lyon,"[0, 0]"
Nice,Saint Etienne,"[8, 0]"
Lille,Strasbourg,"[3, 3]"
Rennes,Lens,"[1, 1]"
Reims,Paris Saint Germain,"[1, 1]"
Monaco,Le Havre,"[3, 1]"
Angers,Nantes,"[1, 1]"
Montpellier,Auxerre,"[3, 2]"
Stade Brestois 29,Toulouse,"[2, 0]"
Lyon,Marseille,"[2, 3]"
Auxerre,Stade Brestois 29,"[3, 0]"
Paris Saint Germain,Rennes,"[3, 1]"
Lens,Nice,"[0, 0]"
Le Havre,Lille,"[0, 3]"
Monaco,Montpellier,"[2, 1]"
Toulouse,Lyon,"[1, 2]"
Angers,Reims,"[1, 3]"
Nantes,Saint Etienne,"[2, 2]"
Strasbourg,Marseille,"[1, 0]"
Marseille,Angers,"[1, 1]"
Saint Etienne,Auxerre,"[3, 1]"
Lille,Toulouse,"[2, 1]"
Rennes,Monaco,"[1, 2]"
Lyon,Nantes,"[2, 0]"
Reims,Montpellier,"[4, 2]"
Strasbourg,Lens,"[2, 2]"
Stade Brestois 29,Le Havre,"[2, 0]"
Nice,Paris Saint Germain,"[1, 1]"
Monaco,Lille,"[0, 0]"
Stade Brestois 29,Rennes,"[1, 1]"
Saint Etienne,Lens,"[0, 2]"
Paris Saint Germain,Strasbourg,"[4, 2]"
Le Havre,Lyon,"[0, 4]"
Nantes,Nice,"[1, 1]"
Toulouse,Angers,"[1, 1]"
Auxerre,Reims,"[2, 1]"
Montpellier,Marseille,"[0, 5]"
Rennes,Le Havre,"[1, 0]"
Angers,Saint Etienne,"[4, 2]"
Reims,Stade Brestois 29,"[1, 2]"
Lens,Lille,"[0, 2]"
Lyon,Auxerre,"[2, 2]"
Montpellier,Toulouse,"[0, 3]"
Nice,Monaco,"[2, 1]"
Strasbourg,Nantes,"[3, 1]"
Marseille,Paris Saint Germain,"[0, 3]"
Monaco,Angers,"[0, 1]"
Lille,Lyon,"[1, 1]"
Paris Saint Germain,Lens,"[1, 0]"
Stade Brestois 29,Nice,"[0, 1]"
Saint Etienne,Strasbourg,"[2, 0]"
Toulouse,Reims,"[1, 0]"
Auxerre,Rennes,"[4, 0]"
Le Havre,Montpellier,"[1, 0]"
Nantes,Marseille,"[1, 2]"
Marseille,Auxerre,"[1, 3]"
Strasbourg,Monaco,"[1, 3]"
Lens,Nantes,"[3, 2]"
Angers,Paris Saint Germain,"[2, 4]"
Nice,Lille,"[2, 2]"
Montpellier,Stade Brestois 29,"[3, 1]"
Rennes,Toulouse,"[0, 2]"
Le Havre,Reims,"[0, 3]"
Lyon,Saint Etienne,"[1, 0]"
Monaco,Stade Brestois 29,"[3, 2]"
Paris Saint Germain,Toulouse,"[3, 0]"
Lens,Marseille,"[1, 3]"
Saint Etienne,Montpellier,"[1, 0]"
Reims,Lyon,"[1, 1]"
Lille,Rennes,"[1, 0]"
Nantes,Le Havre,"[0, 2]"
Auxerre,Angers,"[1, 0]"
Nice,Strasbourg,"[2, 1]"
Reims,Lens,"[0, 2]"
Rennes,Saint Etienne,"[5, 0]"
Stade Brestois 29,Strasbourg,"[3, 1]"
Paris Saint Germain,Nantes,"[1, 1]"
Montpellier,Lille,"[2, 2]"
Lyon,Nice,"[4, 1]"
Toulouse,Auxerre,"[2, 0]"
Le Havre,Angers,"[0, 1]"
Marseille,Monaco,"[2, 1]"
Lille,Stade Brestois 29,"[3, 1]"
Auxerre,Paris Saint Germain,"[0, 0]"
Monaco,Toulouse,"[2, 0]"
Nice,Le Havre,"[2, 1]"
Angers,Lyon,"[0, 3]"
Lens,Montpellier,"[2, 0]"
Nantes,Rennes,"[1, 0]"
Strasbourg,Reims,"[0, 0]"
