home,away,ft
Inter Miami,Real Salt Lake,"[2, 0]"
Columbus Crew,Atlanta United FC,"[1, 0]"
Los Angeles FC,Seattle Sounders,"[2, 1]"
Nashville SC,New York Red Bulls,"[0, 0]"
Orlando City SC,CF Montreal,"[0, 0]"
Philadelphia Union,Chicago Fire,"[2, 2]"
DC United,New England Revolution,"[3, 1]"
Charlotte,New York City FC,"[1, 0]"
FC Dallas,San Jose Earthquakes,"[2, 1]"
Houston Dynamo,Sporting Kansas City,"[1, 1]"
Austin,Minnesota United FC,"[1, 2]"
St. Louis City,Real Salt Lake,"[1, 1]"
Portland Timbers,Colorado Rapids,"[4, 1]"
FC Cincinnati,Toronto FC,"[0, 0]"
Los Angeles Galaxy,Inter Miami,"[1, 1]"
Real Salt Lake,Los Angeles FC,"[3, 0]"
Minnesota United FC,Columbus Crew,"[1, 1]"
Inter Miami,Orlando City SC,"[5, 0]"
Vancouver Whitecaps,Charlotte,"[1, 1]"
FC Dallas,CF Montreal,"[1, 2]"
Houston Dynamo,New York Red Bulls,"[1, 2]"
Chicago Fire,FC Cincinnati,"[1, 2]"
Sporting Kansas City,Philadelphia Union,"[1, 1]"
St. Louis City,New York City FC,"[2, 0]"
Colorado Rapids,Nashville SC,"[1, 1]"
Seattle Sounders,Austin,"[0, 0]"
San Jose Earthquakes,Los Angeles Galaxy,"[1, 3]"
Portland Timbers,DC United,"[2, 2]"
New England Revolution,Toronto FC,"[0, 1]"
Toronto FC,Charlotte,"[1, 0]"
New York City FC,Portland Timbers,"[1, 2]"
Orlando City SC,Minnesota United FC,"[2, 3]"
New York Red Bulls,FC Dallas,"[2, 1]"
Atlanta United FC,New England Revolution,"[4, 1]"
Columbus Crew,Chicago Fire,"[2, 1]"
Austin,St. Louis City,"[2, 2]"
Real Salt Lake,Colorado Rapids,"[1, 2]"
San Jose Earthquakes,Vancouver Whitecaps,"[0, 2]"
Los Angeles FC,Sporting Kansas City,"[0, 0]"
FC Cincinnati,DC United,"[0, 0]"
Nashville SC,Los Angeles Galaxy,"[2, 2]"
Inter Miami,CF Montreal,"[2, 3]"
Chicago Fire,CF Montreal,"[4, 3]"
DC United,Inter Miami,"[1, 3]"
Seattle Sounders,Colorado Rapids,"[1, 1]"
New York City FC,Toronto FC,"[2, 1]"
Columbus Crew,New York Red Bulls,"[3, 0]"
FC Dallas,Vancouver Whitecaps,"[1, 3]"
Houston Dynamo,Portland Timbers,"[1, 0]"
Sporting Kansas City,San Jose Earthquakes,"[2, 1]"
Minnesota United FC,Los Angeles FC,"[2, 0]"
Nashville SC,Charlotte,"[2, 1]"
Austin,Philadelphia Union,"[2, 2]"
Los Angeles Galaxy,St. Louis City,"[3, 3]"
New England Revolution,FC Cincinnati,"[1, 2]"
Atlanta United FC,Orlando City SC,"[2, 0]"
New York Red Bulls,Inter Miami,"[4, 0]"
New England Revolution,Chicago Fire,"[1, 1]"
Orlando City SC,Austin,"[2, 0]"
Toronto FC,Atlanta United FC,"[2, 0]"
Vancouver Whitecaps,Real Salt Lake,"[1, 2]"
FC Cincinnati,New York City FC,"[1, 0]"
Charlotte,Columbus Crew,"[2, 0]"
Sporting Kansas City,Los Angeles Galaxy,"[2, 3]"
St. Louis City,DC United,"[2, 2]"
Colorado Rapids,Houston Dynamo,"[0, 1]"
San Jose Earthquakes,Seattle Sounders,"[3, 2]"
Los Angeles FC,Nashville SC,"[5, 0]"
Portland Timbers,Philadelphia Union,"[1, 3]"
Philadelphia Union,Minnesota United FC,"[2, 0]"
Colorado Rapids,Los Angeles FC,"[3, 2]"
Orlando City SC,New York Red Bulls,"[1, 1]"
Toronto FC,Sporting Kansas City,"[1, 3]"
DC United,CF Montreal,"[1, 0]"
Inter Miami,New York City FC,"[1, 1]"
Charlotte,FC Cincinnati,"[1, 1]"
