home,away,ft
Sporting CP,Rio Ave,"[3, 1]"
AVS,Nacional,"[1, 1]"
Casa Pia,Boavista,"[0, 1]"
FC Porto,GIL Vicente,"[3, 0]"
Estoril,Santa Clara,"[1, 4]"
Farense,Moreirense,"[1, 2]"
Famalicao,Benfica,"[2, 0]"
SC Braga,Estrela,"[1, 1]"
Arouca,Guimaraes,"[0, 1]"
Santa Clara,FC Porto,"[0, 2]"
GIL Vicente,AVS,"[4, 2]"
Rio Ave,Farense,"[1, 0]"
Nacional,Sporting CP,"[1, 6]"
Benfica,Casa Pia,"[3, 0]"
Moreirense,Arouca,"[3, 1]"
Guimaraes,Estoril,"[1, 0]"
Boavista,SC Braga,"[0, 1]"
Estrela,Famalicao,"[0, 3]"
Farense,Sporting CP,"[0, 5]"
Casa Pia,Santa Clara,"[0, 2]"
FC Porto,Rio Ave,"[2, 0]"
Benfica,Estrela,"[1, 0]"
Famalicao,Boavista,"[1, 0]"
Arouca,Nacional,"[1, 0]"
Estoril,GIL Vicente,"[0, 0]"
SC Braga,Moreirense,"[3, 1]"
AVS,Guimaraes,"[1, 0]"
Moreirense,Benfica,"[1, 1]"
Santa Clara,AVS,"[2, 1]"
Boavista,Estoril,"[0, 0]"
Estrela,Casa Pia,"[0, 1]"
Sporting CP,FC Porto,"[2, 0]"
Nacional,Farense,"[2, 0]"
Rio Ave,Arouca,"[1, 0]"
Guimaraes,Famalicao,"[2, 1]"
GIL Vicente,SC Braga,"[0, 0]"
Arouca,Sporting CP,"[0, 3]"
Casa Pia,Moreirense,"[3, 1]"
AVS,Rio Ave,"[1, 0]"
Benfica,Santa Clara,"[4, 1]"
Famalicao,GIL Vicente,"[1, 1]"
FC Porto,Farense,"[2, 1]"
Estoril,Nacional,"[1, 0]"
SC Braga,Guimaraes,"[0, 2]"
Estrela,Boavista,"[2, 2]"
Nacional,SC Braga,"[0, 3]"
Rio Ave,Estoril,"[2, 2]"
Santa Clara,Estrela,"[1, 0]"
Guimaraes,FC Porto,"[0, 3]"
Moreirense,Famalicao,"[0, 0]"
GIL Vicente,Casa Pia,"[1, 1]"
Farense,Arouca,"[0, 1]"
Sporting CP,AVS,"[3, 0]"
Boavista,Benfica,"[0, 3]"
Estoril,Sporting CP,"[0, 3]"
Estrela,Moreirense,"[2, 1]"
Casa Pia,Guimaraes,"[1, 1]"
Benfica,GIL Vicente,"[5, 1]"
Famalicao,Nacional,"[0, 0]"
FC Porto,Arouca,"[4, 0]"
SC Braga,Rio Ave,"[4, 0]"
Santa Clara,Boavista,"[1, 0]"
AVS,Farense,"[0, 0]"
Rio Ave,Famalicao,"[1, 1]"
Moreirense,Santa Clara,"[1, 0]"
GIL Vicente,Estrela,"[3, 0]"
Arouca,AVS,"[1, 1]"
Sporting CP,Casa Pia,"[2, 0]"
Guimaraes,Boavista,"[2, 2]"
Farense,Estoril,"[1, 0]"
FC Porto,SC Braga,"[2, 1]"
Casa Pia,Nacional,"[1, 0]"
Santa Clara,GIL Vicente,"[2, 1]"
Estoril,Arouca,"[4, 1]"
Boavista,Moreirense,"[0, 2]"
Famalicao,Sporting CP,"[0, 3]"
SC Braga,Farense,"[2, 0]"
Benfica,Rio Ave,"[5, 0]"
Estrela,Guimaraes,"[2, 2]"
AVS,FC Porto,"[0, 5]"
Sporting CP,Estrela,"[5, 1]"
Rio Ave,Casa Pia,"[2, 2]"
Farense,Benfica,"[1, 2]"
GIL Vicente,Boavista,"[1, 2]"
AVS,Famalicao,"[2, 3]"
Guimaraes,Moreirense,"[1, 0]"
Arouca,SC Braga,"[1, 2]"
FC Porto,Estoril,"[4, 0]"
Nacional,Santa Clara,"[2, 0]"
Moreirense,GIL Vicente,"[3, 2]"
Estoril,AVS,"[0, 0]"
Casa Pia,Farense,"[1, 1]"
Famalicao,Arouca,"[0, 0]"
Boavista,Rio Ave,"[0, 2]"
Estrela,Nacional,"[2, 0]"
Santa Clara,Guimaraes,"[1, 0]"
SC Braga,Sporting CP,"[2, 4]"
Benfica,FC Porto,"[4, 1]"
Farense,Estrela,"[1, 0]"
Rio Ave,Moreirense,"[3, 2]"
Nacional,Boavista,"[0, 0]"
Sporting CP,Santa Clara,"[0, 1]"
Estoril,Famalicao,"[2, 1]"
Arouca,Benfica,"[0, 2]"
AVS,SC Braga,"[0, 1]"
Guimaraes,GIL Vicente,"[4, 0]"
FC Porto,Casa Pia,"[2, 0]"
Moreirense,Sporting CP,"[2, 1]"
SC Braga,Estoril,"[2, 2]"
GIL Vicente,Nacional,"[2, 1]"
Benfica,Guimaraes,"[1, 0]"
Santa Clara,Rio Ave,"[1, 0]"
Famalicao,FC Porto,"[1, 1]"
Boavista,Farense,"[1, 1]"
Casa Pia,AVS,"[1, 1]"
Estrela,Arouca,"[2, 1]"
Farense,GIL Vicente,"[0, 1]"
Nacional,Moreirense,"[1, 0]"
Sporting CP,Boavista,"[3, 2]"
Arouca,Santa Clara,"[1, 0]"
AVS,Benfica,"[1, 1]"
Estoril,Casa Pia,"[0, 2]"
SC Braga,Famalicao,"[3, 3]"
FC Porto,Estrela,"[2, 0]"
Rio Ave,Guimaraes,"[2, 2]"
Nacional,Benfica,"[0, 2]"
Casa Pia,Arouca,"[3, 1]"
Famalicao,Farense,"[1, 2]"
Boavista,AVS,"[0, 0]"
Moreirense,FC Porto,"[0, 3]"
Santa Clara,SC Braga,"[0, 2]"
GIL Vicente,Sporting CP,"[0, 0]"
Benfica,Estoril,"[3, 0]"
Guimaraes,Nacional,"[2, 2]"
Estrela,Rio Ave,"[1, 0]"
Arouca,GIL Vicente,"[1, 1]"
AVS,Estrela,"[1, 1]"
Estoril,Moreirense,"[2, 2]"
FC Porto,Boavista,"[4, 0]"
Rio Ave,Nacional,"[2, 1]"
Farense,Guimaraes,"[2, 2]"
SC Braga,Casa Pia,"[1, 2]"
Sporting CP,Benfica,"[1, 0]"
Famalicao,Santa Clara,"[1, 2]"
Guimaraes,Sporting CP,"[4, 4]"
Moreirense,AVS,"[1, 1]"
Benfica,SC Braga,"[1, 2]"
Boavista,Arouca,"[1, 3]"
Santa Clara,Farense,"[0, 0]"
Casa Pia,Famalicao,"[1, 1]"
Estrela,Estoril,"[2, 4]"
GIL Vicente,Rio Ave,"[1, 1]"
Nacional,FC Porto,"[2, 0]"
Benfica,Famalicao,"[4, 0]"
Santa Clara,Estoril,"[2, 3]"
Rio Ave,Sporting CP,"[0, 3]"
Guimaraes,Arouca,"[2, 2]"
Moreirense,Farense,"[0, 0]"
Nacional,AVS,"[3, 1]"
Estrela,SC Braga,"[0, 1]"
GIL Vicente,FC Porto,"[3, 1]"
Boavista,Casa Pia,"[2, 3]"
Arouca,Moreirense,"[1, 0]"
Farense,Rio Ave,"[1, 2]"
Famalicao,Estrela,"[0, 0]"
Casa Pia,Benfica,"[3, 1]"
Sporting CP,Nacional,"[2, 0]"
Estoril,Guimaraes,"[1, 0]"
FC Porto,Santa Clara,"[1, 1]"
SC Braga,Boavista,"[3, 0]"
AVS,GIL Vicente,"[1, 0]"
Boavista,Famalicao,"[0, 2]"
Nacional,Arouca,"[1, 2]"
Santa Clara,Casa Pia,"[2, 1]"
GIL Vicente,Estoril,"[1, 2]"
Guimaraes,AVS,"[2, 0]"
Sporting CP,Farense,"[3, 1]"
Estrela,Benfica,"[2, 3]"
Moreirense,SC Braga,"[1, 2]"
Rio Ave,FC Porto,"[2, 2]"
FC Porto,Sporting CP,"[1, 1]"
AVS,Santa Clara,"[1, 2]"
Benfica,Moreirense,"[3, 2]"
Famalicao,Guimaraes,"[0, 0]"
Estoril,Boavista,"[2, 1]"
Farense,Nacional,"[0, 2]"
SC Braga,GIL Vicente,"[2, 0]"
Casa Pia,Estrela,"[1, 0]"
Arouca,Rio Ave,"[1, 1]"
Boavista,Estrela,"[0, 1]"
Moreirense,Casa Pia,"[3, 2]"
Nacional,Estoril,"[2, 2]"
Santa Clara,Benfica,"[0, 1]"
Sporting CP,Arouca,"[2, 2]"
Rio Ave,AVS,"[1, 1]"
Farense,FC Porto,"[0, 1]"
Guimaraes,SC Braga,"[0, 0]"
GIL Vicente,Famalicao,"[0, 2]"
SC Braga,Nacional,"[1, 0]"
Casa Pia,GIL Vicente,"[1, 0]"
Benfica,Boavista,"[3, 0]"
Estoril,Rio Ave,"[2, 1]"
Arouca,Farense,"[2, 2]"
Estrela,Santa Clara,"[0, 0]"
AVS,Sporting CP,"[2, 2]"
Famalicao,Moreirense,"[2, 0]"
FC Porto,Guimaraes,"[1, 1]"
Nacional,Famalicao,"[2, 1]"
