home,away,ft
Al Taawon,Al-Fayha,"[1, 0]"
Al Wehda Club,Al Riyadh,"[3, 3]"
Al-Nassr,Al-Raed,"[1, 1]"
Damac,Al Khaleej Saihat,"[0, 1]"
Al-Ahli Jeddah,Al Orubah,"[2, 0]"
Al-Qadisiyah FC,Al-Fateh,"[3, 0]"
Al Kholood,Al-Ittihad FC,"[0, 1]"
Al Shabab,Al-Ettifaq,"[0, 1]"
Al Okhdood,Al-Hilal Saudi FC,"[0, 3]"
Al-Fateh,Al-Ahli Jeddah,"[1, 0]"
Al-Raed,Al-Qadisiyah FC,"[0, 1]"
Al-Fayha,Al-Nassr,"[1, 4]"
Al-Ettifaq,Al Okhdood,"[1, 0]"
Al-Hilal Saudi FC,Damac,"[3, 2]"
Al Wehda Club,Al Orubah,"[2, 1]"
Al Riyadh,Al Kholood,"[3, 1]"
Al Khaleej Saihat,Al Shabab,"[0, 1]"
Al-Ittihad FC,Al Taawon,"[2, 1]"
Al Taawon,Al Khaleej Saihat,"[2, 0]"
Damac,Al Okhdood,"[3, 1]"
Al-Nassr,Al-Ahli Jeddah,"[1, 1]"
Al-Fateh,Al-Ettifaq,"[1, 2]"
Al-Fayha,Al-Raed,"[0, 5]"
Al Riyadh,Al-Hilal Saudi FC,"[0, 3]"
Al-Qadisiyah FC,Al Shabab,"[0, 1]"
Al Kholood,Al Orubah,"[3, 3]"
Al-Ittihad FC,Al Wehda Club,"[7, 1]"
Al Okhdood,Al-Qadisiyah FC,"[0, 0]"
Al Orubah,Al-Fateh,"[1, 0]"
Al Wehda Club,Al Kholood,"[0, 1]"
Al Khaleej Saihat,Al-Fayha,"[0, 0]"
Al-Ahli Jeddah,Damac,"[4, 2]"
Al-Ettifaq,Al-Nassr,"[0, 3]"
Al Shabab,Al Taawon,"[1, 0]"
Al-Raed,Al Riyadh,"[1, 2]"
Al-Hilal Saudi FC,Al-Ittihad FC,"[3, 1]"
Al-Nassr,Al Wehda Club,"[2, 0]"
Al-Qadisiyah FC,Al-Ahli Jeddah,"[1, 0]"
Al-Ittihad FC,Al Khaleej Saihat,"[4, 1]"
Al-Fateh,Al Okhdood,"[2, 4]"
Al Orubah,Damac,"[1, 0]"
Al Kholood,Al-Hilal Saudi FC,"[2, 4]"
Al-Fayha,Al Riyadh,"[2, 0]"
Al Taawon,Al-Ettifaq,"[1, 1]"
Al Shabab,Al-Raed,"[2, 1]"
Al-Ettifaq,Al-Raed,"[0, 1]"
Al Wehda Club,Al-Fayha,"[2, 2]"
Al Okhdood,Al-Ittihad FC,"[1, 2]"
Al Khaleej Saihat,Al Kholood,"[1, 0]"
Al Riyadh,Al-Qadisiyah FC,"[2, 1]"
Damac,Al Shabab,"[1, 0]"
Al-Nassr,Al Orubah,"[3, 0]"
Al Taawon,Al-Fateh,"[2, 0]"
Al-Ahli Jeddah,Al-Hilal Saudi FC,"[1, 2]"
Al Khaleej Saihat,Al-Ahli Jeddah,"[0, 3]"
Al-Hilal Saudi FC,Al-Fayha,"[3, 0]"
Al Shabab,Al-Nassr,"[1, 2]"
Al-Raed,Al Wehda Club,"[2, 2]"
Damac,Al Taawon,"[2, 2]"
Al-Ittihad FC,Al-Qadisiyah FC,"[3, 1]"
Al-Fateh,Al Kholood,"[1, 1]"
Al Okhdood,Al Riyadh,"[0, 1]"
Al-Ettifaq,Al Orubah,"[2, 3]"
Al Orubah,Al Shabab,"[0, 3]"
Al Wehda Club,Al Khaleej Saihat,"[1, 3]"
Al Riyadh,Al-Ittihad FC,"[0, 1]"
Al-Qadisiyah FC,Damac,"[2, 1]"
Al Kholood,Al-Nassr,"[3, 3]"
Al-Ahli Jeddah,Al Okhdood,"[1, 1]"
Al-Fayha,Al-Ettifaq,"[1, 1]"
Al-Raed,Al-Fateh,"[2, 1]"
Al-Hilal Saudi FC,Al Taawon,"[2, 0]"
Al Shabab,Al Wehda Club,"[3, 1]"
Al Okhdood,Al Orubah,"[4, 0]"
Al-Ittihad FC,Al-Ahli Jeddah,"[1, 0]"
Al Khaleej Saihat,Al-Raed,"[4, 0]"
Damac,Al Riyadh,"[2, 2]"
Al-Nassr,Al-Hilal Saudi FC,"[1, 1]"
Al-Fateh,Al-Fayha,"[1, 1]"
Al Taawon,Al Kholood,"[1, 1]"
Al-Ettifaq,Al-Qadisiyah FC,"[0, 2]"
Al-Qadisiyah FC,Al-Fayha,"[2, 0]"
Al Kholood,Al Shabab,"[0, 2]"
Al Orubah,Al-Ittihad FC,"[0, 2]"
Al-Hilal Saudi FC,Al-Ettifaq,"[3, 1]"
Al-Ahli Jeddah,Al-Raed,"[2, 0]"
Al Riyadh,Al-Nassr,"[0, 1]"
Al-Fateh,Al Khaleej Saihat,"[1, 2]"
Al Wehda Club,Damac,"[2, 3]"
Al Taawon,Al Okhdood,"[1, 0]"
Al-Fayha,Al-Ahli Jeddah,"[0, 1]"
Al Okhdood,Al Shabab,"[1, 1]"
Al-Nassr,Al-Qadisiyah FC,"[1, 2]"
Al-Raed,Al Orubah,"[3, 1]"
Al Wehda Club,Al Taawon,"[1, 0]"
Al Khaleej Saihat,Al-Hilal Saudi FC,"[3, 2]"
Damac,Al Kholood,"[2, 1]"
Al Riyadh,Al-Ettifaq,"[0, 0]"
Al-Ittihad FC,Al-Fateh,"[2, 0]"
Al-Fayha,Al Orubah,"[0, 1]"
Al Okhdood,Al Kholood,"[1, 2]"
Al-Fateh,Al Riyadh,"[1, 2]"
Al-Qadisiyah FC,Al Khaleej Saihat,"[1, 0]"
Al-Nassr,Damac,"[2, 0]"
Al-Ahli Jeddah,Al Wehda Club,"[1, 0]"
Al-Raed,Al Taawon,"[0, 1]"
Al-Ettifaq,Al-Ittihad FC,"[0, 4]"
Al Shabab,Al-Hilal Saudi FC,"[1, 2]"
Damac,Al-Fayha,"[2, 2]"
Al Wehda Club,Al Okhdood,"[2, 3]"
Al Shabab,Al-Fateh,"[2, 2]"
Al Kholood,Al-Qadisiyah FC,"[0, 3]"
Al Orubah,Al Riyadh,"[0, 1]"
Al-Ittihad FC,Al-Nassr,"[2, 1]"
Al Khaleej Saihat,Al-Ettifaq,"[1, 2]"
Al-Hilal Saudi FC,Al-Raed,"[3, 2]"
Al Taawon,Al-Ahli Jeddah,"[2, 4]"
Al-Fateh,Al Wehda Club,"[1, 2]"
Al Riyadh,Al Khaleej Saihat,"[2, 2]"
Al-Nassr,Al Okhdood,"[3, 1]"
Al-Ettifaq,Al Kholood,"[2, 3]"
Al-Raed,Damac,"[0, 2]"
Al-Ahli Jeddah,Al Shabab,"[3, 2]"
Al Orubah,Al-Hilal Saudi FC,"[0, 5]"
Al-Qadisiyah FC,Al Taawon,"[0, 3]"
Al-Fayha,Al-Ittihad FC,"[1, 1]"
Al Shabab,Al Riyadh,"[2, 1]"
Damac,Al-Ettifaq,"[0, 3]"
Al Kholood,Al-Ahli Jeddah,"[1, 0]"
Al Okhdood,Al-Fayha,"[1, 2]"
Al-Hilal Saudi FC,Al-Fateh,"[9, 0]"
Al-Ittihad FC,Al-Raed,"[4, 1]"
Al Khaleej Saihat,Al Orubah,"[3, 0]"
Al Wehda Club,Al-Qadisiyah FC,"[0, 3]"
Al Taawon,Al-Nassr,"[1, 1]"
Al-Fayha,Al Kholood,"[1, 0]"
Al-Raed,Al Okhdood,"[0, 2]"
Al-Ettifaq,Al-Ahli Jeddah,"[1, 2]"
Al Khaleej Saihat,Al-Nassr,"[1, 3]"
Al Riyadh,Al Taawon,"[1, 0]"
Al-Hilal Saudi FC,Al Wehda Club,"[4, 1]"
Al Orubah,Al-Qadisiyah FC,"[0, 2]"
Al-Fateh,Damac,"[2, 1]"
Al-Ittihad FC,Al Shabab,"[2, 1]"
Al Kholood,Al-Raed,"[2, 1]"
Al Wehda Club,Al-Ettifaq,"[2, 2]"
Al Taawon,Al Orubah,"[0, 0]"
Al Okhdood,Al Khaleej Saihat,"[1, 2]"
Al-Ahli Jeddah,Al Riyadh,"[5, 0]"
Al-Nassr,Al-Fateh,"[3, 1]"
Damac,Al-Ittihad FC,"[2, 1]"
Al Shabab,Al-Fayha,"[2, 1]"
Al-Qadisiyah FC,Al-Hilal Saudi FC,"[2, 1]"
Al Orubah,Al-Ahli Jeddah,"[0, 2]"
Al Riyadh,Al Wehda Club,"[1, 0]"
Al-Raed,Al-Nassr,"[1, 2]"
Al-Fayha,Al Taawon,"[0, 0]"
Al-Hilal Saudi FC,Al Okhdood,"[4, 0]"
Al-Ettifaq,Al Shabab,"[3, 1]"
Al Khaleej Saihat,Damac,"[1, 1]"
Al-Fateh,Al-Qadisiyah FC,"[1, 1]"
Al-Ittihad FC,Al Kholood,"[4, 3]"
Al-Qadisiyah FC,Al-Raed,"[2, 0]"
Al Shabab,Al Khaleej Saihat,"[5, 1]"
Al Taawon,Al-Ittihad FC,"[1, 2]"
Al Orubah,Al Wehda Club,"[4, 2]"
Al-Nassr,Al-Fayha,"[3, 0]"
Al-Ahli Jeddah,Al-Fateh,"[2, 0]"
Al Kholood,Al Riyadh,"[3, 2]"
Al Okhdood,Al-Ettifaq,"[0, 2]"
Damac,Al-Hilal Saudi FC,"[2, 2]"
Al Okhdood,Damac,"[0, 0]"
Al Shabab,Al-Qadisiyah FC,"[2, 3]"
Al-Ahli Jeddah,Al-Nassr,"[2, 3]"
Al Orubah,Al Kholood,"[2, 0]"
Al-Ettifaq,Al-Fateh,"[1, 2]"
Al-Hilal Saudi FC,Al Riyadh,"[1, 1]"
Al Khaleej Saihat,Al Taawon,"[0, 1]"
Al-Raed,Al-Fayha,"[0, 2]"
Al Wehda Club,Al-Ittihad FC,"[1, 4]"
Al-Fateh,Al Orubah,"[1, 0]"
Al-Fayha,Al Khaleej Saihat,"[0, 0]"
