home,away,ft
Genoa,Inter,"[2, 2]"
Parma,Fiorentina,"[1, 1]"
AC Milan,Torino,"[2, 2]"
Empoli,Monza,"[0, 0]"
Bologna,Udinese,"[1, 1]"
Verona,Napoli,"[3, 0]"
Lazio,Venezia,"[3, 1]"
Cagliari,AS Roma,"[0, 0]"
Lecce,Atalanta,"[0, 4]"
Juventus,Como,"[3, 0]"
Udinese,Lazio,"[2, 1]"
Parma,AC Milan,"[2, 1]"
Inter,Lecce,"[2, 0]"
Monza,Genoa,"[0, 1]"
Fiorentina,Venezia,"[0, 0]"
Torino,Atalanta,"[2, 1]"
Napoli,Bologna,"[3, 0]"
AS Roma,Empoli,"[1, 2]"
Cagliari,Como,"[1, 1]"
Verona,Juventus,"[0, 3]"
Venezia,Torino,"[0, 1]"
Inter,Atalanta,"[4, 0]"
Bologna,Empoli,"[1, 1]"
Lecce,Cagliari,"[1, 0]"
Lazio,AC Milan,"[2, 2]"
Napoli,Parma,"[2, 1]"
Genoa,Verona,"[0, 2]"
Fiorentina,Monza,"[2, 2]"
Udinese,Como,"[1, 0]"
Juventus,AS Roma,"[0, 0]"
Como,Bologna,"[2, 2]"
Empoli,Juventus,"[0, 0]"
AC Milan,Venezia,"[4, 0]"
Genoa,AS Roma,"[1, 1]"
Atalanta,Fiorentina,"[3, 2]"
Torino,Lecce,"[0, 0]"
Cagliari,Napoli,"[0, 4]"
Monza,Inter,"[1, 1]"
Parma,Udinese,"[2, 3]"
Lazio,Verona,"[2, 1]"
Cagliari,Empoli,"[0, 2]"
Verona,Torino,"[2, 3]"
Venezia,Genoa,"[2, 0]"
Juventus,Napoli,"[0, 0]"
Lecce,Parma,"[2, 2]"
Fiorentina,Lazio,"[2, 1]"
Monza,Bologna,"[1, 2]"
AS Roma,Udinese,"[3, 0]"
Inter,AC Milan,"[1, 2]"
Atalanta,Como,"[2, 3]"
AC Milan,Lecce,"[3, 0]"
Udinese,Inter,"[2, 3]"
Genoa,Juventus,"[0, 3]"
Bologna,Atalanta,"[1, 1]"
Torino,Lazio,"[2, 3]"
AS Roma,Venezia,"[2, 1]"
Como,Verona,"[3, 2]"
Empoli,Fiorentina,"[0, 0]"
Napoli,Monza,"[2, 0]"
Parma,Cagliari,"[2, 3]"
Napoli,Como,"[3, 1]"
Verona,Venezia,"[2, 1]"
Udinese,Lecce,"[1, 0]"
Atalanta,Genoa,"[5, 1]"
Inter,Torino,"[3, 2]"
Juventus,Cagliari,"[1, 1]"
Lazio,Empoli,"[2, 1]"
Bologna,Parma,"[0, 0]"
Monza,AS Roma,"[1, 1]"
Fiorentina,AC Milan,"[2, 1]"
Genoa,Bologna,"[2, 2]"
Como,Parma,"[1, 1]"
AC Milan,Udinese,"[1, 0]"
Juventus,Lazio,"[1, 0]"
Empoli,Napoli,"[0, 1]"
Venezia,Atalanta,"[0, 2]"
Lecce,Fiorentina,"[0, 6]"
Cagliari,Torino,"[3, 2]"
AS Roma,Inter,"[0, 1]"
Verona,Monza,"[0, 3]"
Udinese,Cagliari,"[2, 0]"
Torino,Como,"[1, 0]"
Napoli,Lecce,"[1, 0]"
Atalanta,Verona,"[6, 1]"
Parma,Empoli,"[1, 1]"
Lazio,Genoa,"[3, 0]"
Monza,Venezia,"[2, 2]"
Inter,Juventus,"[4, 4]"
Fiorentina,AS Roma,"[5, 1]"
Cagliari,Bologna,"[0, 2]"
Lecce,Verona,"[1, 0]"
AC Milan,Napoli,"[0, 2]"
Empoli,Inter,"[0, 3]"
Venezia,Udinese,"[3, 2]"
Juventus,Parma,"[2, 2]"
Atalanta,Monza,"[2, 0]"
