home,away,ft
Lehigh Valley Phantoms,Wilkes-Barre/Scranton,"[1, 6]"
Rockford IceHogs,Iowa Wild,"[4, 3]"
Hartford Wolf Pack,Bridgeport Islanders,"[5, 4]"
Iowa Wild,Rockford IceHogs,"[5, 2]"
Laval Rocket,Belleville Senators,"[2, 3]"
Utica Comets,Syracuse Crunch,"[1, 6]"
Springfield Thunderbirds,Providence Bruins,"[1, 4]"
Coachella Valley Firebirds,Milwaukee Admirals,"[2, 5]"
Bakersfield Condors,San Jose Barracuda,"[5, 3]"
Henderson Silver Knights,Tucson Roadrunners,"[2, 6]"
Bridgeport Islanders,Hartford Wolf Pack,"[1, 5]"
Toronto Marlies,Laval Rocket,"[4, 3]"
Henderson Silver Knights,Tucson Roadrunners,"[2, 4]"
Lehigh Valley Phantoms,Hershey Bears,"[4, 2]"
Providence Bruins,Springfield Thunderbirds,"[5, 1]"
Coachella Valley Firebirds,Milwaukee Admirals,"[1, 2]"
San Diego Gulls,Ontario Reign,"[4, 5]"
Syracuse Crunch,Rochester Americans,"[1, 7]"
Belleville Senators,Toronto Marlies,"[1, 4]"
Wilkes-Barre/Scranton,Lehigh Valley Phantoms,"[5, 1]"
San Jose Barracuda,Bakersfield Condors,"[4, 2]"
Grand Rapids Griffins,Milwaukee Admirals,"[3, 0]"
Utica Comets,Syracuse Crunch,"[0, 5]"
Providence Bruins,Laval Rocket,"[2, 5]"
Rochester Americans,Belleville Senators,"[2, 3]"
Texas Stars,Henderson Silver Knights,"[4, 3]"
Calgary Wranglers,Abbotsford Canucks,"[3, 4]"
Colorado Eagles,Tucson Roadrunners,"[3, 1]"
Coachella Valley Firebirds,Bakersfield Condors,"[1, 2]"
Toronto Marlies,San Diego Gulls,"[4, 3]"
Wilkes-Barre/Scranton,Charlotte Checkers,"[6, 7]"
Bridgeport Islanders,Providence Bruins,"[2, 3]"
Hershey Bears,Cleveland Monsters,"[7, 3]"
Iowa Wild,Manitoba Moose,"[4, 6]"
Utica Comets,Rochester Americans,"[1, 4]"
Springfield Thunderbirds,Laval Rocket,"[3, 1]"
Texas Stars,Henderson Silver Knights,"[4, 5]"
Rockford IceHogs,Grand Rapids Griffins,"[4, 1]"
Chicago Wolves,Milwaukee Admirals,"[1, 4]"
Ontario Reign,San Jose Barracuda,"[0, 5]"
Colorado Eagles,Tucson Roadrunners,"[2, 4]"
Bridgeport Islanders,Charlotte Checkers,"[0, 3]"
Springfield Thunderbirds,Wilkes-Barre/Scranton,"[1, 4]"
Toronto Marlies,San Diego Gulls,"[4, 1]"
Iowa Wild,Manitoba Moose,"[2, 3]"
Hershey Bears,Cleveland Monsters,"[3, 6]"
Ontario Reign,San Jose Barracuda,"[4, 3]"
Bridgeport Islanders,Hershey Bears,"[2, 3]"
Coachella Valley Firebirds,Calgary Wranglers,"[1, 3]"
Charlotte Checkers,Cleveland Monsters,"[5, 2]"
Grand Rapids Griffins,Manitoba Moose,"[1, 0]"
Hartford Wolf Pack,Springfield Thunderbirds,"[6, 5]"
Laval Rocket,Syracuse Crunch,"[5, 2]"
Wilkes-Barre/Scranton,Lehigh Valley Phantoms,"[4, 3]"
Rochester Americans,Toronto Marlies,"[2, 4]"
Rockford IceHogs,Milwaukee Admirals,"[3, 6]"
Henderson Silver Knights,Calgary Wranglers,"[3, 5]"
Ontario Reign,Bakersfield Condors,"[1, 4]"
San Diego Gulls,Coachella Valley Firebirds,"[5, 6]"
