home,away,ft
Greenville Swamp Rabbits,South Carolina Stingrays,"[3, 4]"
Adirondack Thunder,Reading Royals,"[2, 4]"
Jacksonville IceMen,Savannah Ghost Pirates,"[1, 5]"
Kalamazoo Wings,Toledo Walleye,"[4, 2]"
Maine Mariners,Worcester Railers,"[4, 3]"
Fort Wayne Komets,Iowa Heartlanders,"[6, 0]"
Allen Americans,Tulsa Oilers,"[2, 4]"
Bloomington Bison,Indy Fuel,"[2, 4]"
Fort Wayne Komets,Iowa Heartlanders,"[2, 4]"
Jacksonville IceMen,Savannah Ghost Pirates,"[1, 5]"
Reading Royals,Adirondack Thunder,"[2, 4]"
Worcester Railers,Maine Mariners,"[4, 0]"
Toledo Walleye,Kalamazoo Wings,"[5, 4]"
Tulsa Oilers,Wichita Thunder,"[2, 3]"
Idaho Steelheads,Utah Grizzlies,"[6, 2]"
Florida Everblades,Orlando Solar Bears,"[4, 1]"
Utah Grizzlies,Idaho Steelheads,"[3, 7]"
Trois-Rivieres Lions,Reading Royals,"[2, 3]"
Norfolk Admirals,Adirondack Thunder,"[1, 2]"
Maine Mariners,Wheeling Nailers,"[1, 4]"
Savannah Ghost Pirates,Indy Fuel,"[4, 1]"
Iowa Heartlanders,Fort Wayne Komets,"[5, 6]"
Wichita Thunder,Kansas City,"[3, 5]"
Idaho Steelheads,Utah Grizzlies,"[7, 2]"
Maine Mariners,Wheeling Nailers,"[4, 1]"
Worcester Railers,Reading Royals,"[1, 2]"
Atlanta Gladiators,Indy Fuel,"[1, 0]"
Kansas City,Wichita Thunder,"[5, 4]"
Norfolk Admirals,Adirondack Thunder,"[3, 6]"
Bloomington Bison,Toledo Walleye,"[0, 2]"
Tulsa Oilers,Rapid City Rush,"[7, 1]"
Atlanta Gladiators,Indy Fuel,"[3, 0]"
Worcester Railers,Reading Royals,"[1, 2]"
Bloomington Bison,Toledo Walleye,"[2, 4]"
Tulsa Oilers,Rapid City Rush,"[4, 1]"
Idaho Steelheads,Toledo Walleye,"[5, 2]"
Tulsa Oilers,Allen Americans,"[8, 2]"
Iowa Heartlanders,Bloomington Bison,"[2, 4]"
Greenville Swamp Rabbits,South Carolina Stingrays,"[3, 2]"
Maine Mariners,Norfolk Admirals,"[3, 6]"
Florida Everblades,Atlanta Gladiators,"[3, 1]"
Fort Wayne Komets,Cincinnati Cyclones,"[5, 4]"
