home,away,ft
Dallas Stars,St. Louis Blues,"[2, 1]"
Buffalo Sabres,Pittsburgh Penguins,"[7, 3]"
Winnipeg Jets,Minnesota Wild,"[2, 5]"
Florida Panthers,Nashville Predators,"[3, 2]"
Washington Capitals,Philadelphia Flyers,"[2, 6]"
Boston Bruins,New York Rangers,"[2, 3]"
Florida Panthers,Nashville Predators,"[6, 2]"
New Jersey Devils,New York Islanders,"[2, 4]"
Utah Mammoth,St. Louis Blues,"[5, 3]"
San Jose Sharks,Vegas Golden Knights,"[2, 4]"
Seattle Kraken,Calgary Flames,"[1, 6]"
Buffalo Sabres,Columbus Blue Jackets,"[6, 1]"
Montreal Canadiens,Philadelphia Flyers,"[5, 0]"
Colorado Avalanche,Dallas Stars,"[2, 3]"
Calgary Flames,Edmonton Oilers,"[6, 1]"
Edmonton Oilers,Calgary Flames,"[3, 6]"
Boston Bruins,Washington Capitals,"[4, 2]"
Montreal Canadiens,New Jersey Devils,"[3, 0]"
New York Rangers,New York Islanders,"[6, 4]"
Ottawa Senators,Toronto Maple Leafs,"[2, 1]"
Pittsburgh Penguins,Buffalo Sabres,"[2, 3]"
Tampa Bay Lightning,Carolina Hurricanes,"[1, 2]"
San Jose Sharks,Anaheim Ducks,"[3, 4]"
Vancouver Canucks,Seattle Kraken,"[3, 1]"
Columbus Blue Jackets,St. Louis Blues,"[3, 0]"
New Jersey Devils,Washington Capitals,"[3, 5]"
Tampa Bay Lightning,Florida Panthers,"[8, 7]"
Dallas Stars,Minnesota Wild,"[5, 2]"
Winnipeg Jets,Edmonton Oilers,"[6, 1]"
Chicago Blackhawks,Detroit Red Wings,"[2, 4]"
Vegas Golden Knights,Los Angeles Kings,"[2, 3]"
New York Rangers,Boston Bruins,"[5, 2]"
Philadelphia Flyers,New York Islanders,"[2, 0]"
Toronto Maple Leafs,Montreal Canadiens,"[2, 1]"
Carolina Hurricanes,Florida Panthers,"[8, 2]"
New York Islanders,New Jersey Devils,"[5, 1]"
Washington Capitals,Columbus Blue Jackets,"[4, 8]"
Detroit Red Wings,Chicago Blackhawks,"[2, 0]"
Dallas Stars,Colorado Avalanche,"[4, 2]"
Minnesota Wild,Winnipeg Jets,"[8, 5]"
Vegas Golden Knights,Utah Mammoth,"[5, 2]"
Seattle Kraken,Vancouver Canucks,"[3, 1]"
Los Angeles Kings,Anaheim Ducks,"[3, 2]"
Montreal Canadiens,Toronto Maple Leafs,"[1, 2]"
Columbus Blue Jackets,Buffalo Sabres,"[6, 3]"
Nashville Predators,Tampa Bay Lightning,"[6, 0]"
Calgary Flames,Vancouver Canucks,"[4, 2]"
Edmonton Oilers,Seattle Kraken,"[5, 4]"
Minnesota Wild,Dallas Stars,"[2, 4]"
Colorado Avalanche,Utah Mammoth,"[3, 6]"
Ottawa Senators,Pittsburgh Penguins,"[2, 5]"
Columbus Blue Jackets,Washington Capitals,"[2, 3]"
New Jersey Devils,New York Rangers,"[3, 1]"
New York Islanders,Philadelphia Flyers,"[4, 3]"
Detroit Red Wings,Pittsburgh Penguins,"[1, 5]"
Florida Panthers,Tampa Bay Lightning,"[1, 3]"
Anaheim Ducks,Los Angeles Kings,"[0, 4]"
Boston Bruins,Philadelphia Flyers,"[4, 1]"
Montreal Canadiens,Ottawa Senators,"[3, 4]"
New York Rangers,New Jersey Devils,"[5, 4]"
Pittsburgh Penguins,Detroit Red Wings,"[1, 2]"
St. Louis Blues,Columbus Blue Jackets,"[1, 3]"
Minnesota Wild,Chicago Blackhawks,"[7, 2]"
Colorado Avalanche,Vegas Golden Knights,"[1, 6]"
San Jose Sharks,Utah Mammoth,"[1, 3]"
Carolina Hurricanes,Nashville Predators,"[4, 6]"
Winnipeg Jets,Calgary Flames,"[5, 2]"
Anaheim Ducks,Utah Mammoth,"[5, 2]"
Seattle Kraken,Edmonton Oilers,"[6, 2]"
Los Angeles Kings,Boston Bruins,"[4, 1]"
Philadelphia Flyers,New Jersey Devils,"[5, 4]"
Columbus Blue Jackets,Pittsburgh Penguins,"[1, 3]"
Detroit Red Wings,Toronto Maple Leafs,"[0, 2]"
Vegas Golden Knights,Colorado Avalanche,"[1, 3]"
Buffalo Sabres,New Jersey Devils,"[1, 4]"
New York Islanders,New York Rangers,"[5, 2]"
Pittsburgh Penguins,Columbus Blue Jackets,"[7, 3]"
Chicago Blackhawks,Minnesota Wild,"[1, 6]"
Calgary Flames,Winnipeg Jets,"[2, 3]"
Vancouver Canucks,Edmonton Oilers,"[4, 1]"
New Jersey Devils,Buffalo Sabres,"[3, 1]"
Washington Capitals,Boston Bruins,"[2, 0]"
Nashville Predators,Carolina Hurricanes,"[3, 5]"
Ottawa Senators,Montreal Canadiens,"[4, 2]"
Utah Mammoth,Colorado Avalanche,"[2, 1]"
Los Angeles Kings,Florida Panthers,"[2, 4]"
Toronto Maple Leafs,Detroit Red Wings,"[3, 2]"
Chicago Blackhawks,St. Louis Blues,"[6, 2]"
Vegas Golden Knights,San Jose Sharks,"[5, 6]"
Seattle Kraken,St. Louis Blues,"[2, 3]"
Florida Panthers,Boston Bruins,"[6, 4]"
Utah Mammoth,Chicago Blackhawks,"[5, 2]"
Montreal Canadiens,Toronto Maple Leafs,"[1, 0]"
Pittsburgh Penguins,New York Rangers,"[0, 6]"
Edmonton Oilers,Winnipeg Jets,"[0, 6]"
Vegas Golden Knights,Colorado Avalanche,"[8, 4]"
Boston Bruins,Montreal Canadiens,"[6, 4]"
Buffalo Sabres,Los Angeles Kings,"[1, 3]"
