home,away,ft
Fayetteville Marksmen,Roanoke Dawgs,"[9, 6]"
Macon Mayhem,Birmingham Bulls,"[3, 4]"
Evansville Thunderbolts,Knoxville Ice Bears,"[2, 3]"
Pensacola Ice Flyers,Huntsville Havoc,"[1, 4]"
Macon Mayhem,Fayetteville Marksmen,"[4, 2]"
Knoxville Ice Bears,Quad City Storm,"[0, 5]"
Huntsville Havoc,Pensacola Ice Flyers,"[5, 1]"
Birmingham Bulls,Evansville Thunderbolts,"[4, 1]"
Peoria Rivermen,Roanoke Dawgs,"[4, 1]"
Macon Mayhem,Fayetteville Marksmen,"[2, 4]"
Pensacola Ice Flyers,Birmingham Bulls,"[2, 5]"
Evansville Thunderbolts,Peoria Rivermen,"[2, 5]"
Roanoke Dawgs,Pensacola Ice Flyers,"[1, 3]"
Birmingham Bulls,Macon Mayhem,"[4, 1]"
Evansville Thunderbolts,Huntsville Havoc,"[1, 3]"
Quad City Storm,Peoria Rivermen,"[3, 9]"
Fayetteville Marksmen,Knoxville Ice Bears,"[2, 0]"
Roanoke Dawgs,Pensacola Ice Flyers,"[7, 2]"
Huntsville Havoc,Evansville Thunderbolts,"[1, 2]"
Birmingham Bulls,Macon Mayhem,"[1, 4]"
Peoria Rivermen,Quad City Storm,"[3, 4]"
Huntsville Havoc,Macon Mayhem,"[5, 1]"
Birmingham Bulls,Roanoke Dawgs,"[1, 2]"
Pensacola Ice Flyers,Knoxville Ice Bears,"[7, 4]"
Quad City Storm,Fayetteville Marksmen,"[1, 3]"
Peoria Rivermen,Evansville Thunderbolts,"[3, 4]"
Pensacola Ice Flyers,Knoxville Ice Bears,"[3, 5]"
Quad City Storm,Fayetteville Marksmen,"[1, 2]"
Huntsville Havoc,Knoxville Ice Bears,"[1, 2]"
Fayetteville Marksmen,Macon Mayhem,"[2, 5]"
Roanoke Dawgs,Quad City Storm,"[6, 3]"
Huntsville Havoc,Pensacola Ice Flyers,"[3, 2]"
Peoria Rivermen,Evansville Thunderbolts,"[3, 2]"
Fayetteville Marksmen,Macon Mayhem,"[6, 2]"
Pensacola Ice Flyers,Huntsville Havoc,"[3, 5]"
Birmingham Bulls,Knoxville Ice Bears,"[7, 4]"
Knoxville Ice Bears,Roanoke Dawgs,"[2, 1]"
Huntsville Havoc,Roanoke Dawgs,"[3, 2]"
Birmingham Bulls,Macon Mayhem,"[5, 2]"
Quad City Storm,Evansville Thunderbolts,"[1, 3]"
Peoria Rivermen,Pensacola Ice Flyers,"[5, 0]"
Macon Mayhem,Fayetteville Marksmen,"[3, 1]"
Evansville Thunderbolts,Quad City Storm,"[8, 3]"
Peoria Rivermen,Pensacola Ice Flyers,"[4, 1]"
Macon Mayhem,Knoxville Ice Bears,"[4, 0]"
Fayetteville Marksmen,Knoxville Ice Bears,"[3, 1]"
Roanoke Dawgs,Macon Mayhem,"[3, 2]"
Quad City Storm,Evansville Thunderbolts,"[3, 1]"
Pensacola Ice Flyers,Huntsville Havoc,"[2, 3]"
Macon Mayhem,Pensacola Ice Flyers,"[3, 5]"
Knoxville Ice Bears,Evansville Thunderbolts,"[4, 0]"
Roanoke Dawgs,Fayetteville Marksmen,"[3, 2]"
Huntsville Havoc,Birmingham Bulls,"[4, 2]"
Peoria Rivermen,Quad City Storm,"[4, 0]"
Quad City Storm,Peoria Rivermen,"[1, 5]"
Huntsville Havoc,Evansville Thunderbolts,"[5, 2]"
Birmingham Bulls,Pensacola Ice Flyers,"[3, 1]"
Knoxville Ice Bears,Roanoke Dawgs,"[1, 5]"
Birmingham Bulls,Evansville Thunderbolts,"[3, 2]"
