home,away,ft
Besancon,Mulhouse,"[5, 2]"
Metz,Epinal,"[0, 15]"
Orleans,Meudon,"[4, 11]"
Evry,Wasquehal,"[3, 2]"
La Roche sur Yon,Nantes,"[2, 3]"
Valenciennes,Neuilly Sur Marne,"[5, 1]"
Luxembourg,Roanne,"[1, 7]"
Montpellier,Courchevel,"[3, 5]"
Poitiers,Brive,"[6, 1]"
Reims,Dunkerque Corsaires,"[2, 4]"
Dijon,Strasbourg,"[0, 12]"
Lyon,Morzine-Avoriaz,"[1, 3]"
Chambery,Mont Blanc,"[6, 3]"
Nimes,Valence,"[0, 10]"
Tours,Brest,"[7, 2]"
Francais Volants,Chalons,"[2, 3]"
Annecy,Villard,"[1, 7]"
Caen,Cholet,"[0, 3]"
Clermont-Ferrand,Toulouse-Blagnac,"[4, 2]"
Saint Pierre et Miquelon,Courbevoie,"[2, 10]"
Dunkerque Corsaires,Valenciennes,"[6, 2]"
Tours,Anglet,"[0, 7]"
Poitiers,Angers,"[0, 24]"
Nantes,Cholet,"[4, 2]"
Gap,Briancon,"[0, 5]"
Chamonix Mont-Blanc,Grenoble,"[3, 5]"
Evry,Cergy-Pontoise,"[1, 12]"
Meudon,Rouen,"[2, 7]"
Clermont-Ferrand,Bordeaux,"[1, 10]"
Chalons,Epinal,"[0, 4]"
Villard,Nice,"[2, 3]"
Courbevoie,Amiens,"[1, 8]"
Besancon,Strasbourg,"[0, 16]"
Courchevel,Marseille,"[0, 6]"
Valence,Chambery,"[2, 6]"
Dunkerque Corsaires,Rouen,"[2, 7]"
Briancon,Anglet,"[4, 1]"
Strasbourg,Amiens,"[2, 6]"
Bordeaux,Grenoble,"[1, 2]"
Marseille,Nice,"[2, 3]"
Cergy-Pontoise,Angers,"[0, 1]"
Epinal,Briancon,"[2, 5]"
Angers,Nice,"[6, 1]"
Morzine-Avoriaz,Rouen,"[1, 6]"
Grenoble,Amiens,"[4, 2]"
Rouen,Angers,"[0, 6]"
Briancon,Grenoble,"[0, 5]"
Grenoble,Angers,"[2, 3]"
