home,away,ft
Dubuque Fighting Saints,Sioux City,"[1, 5]"
Madison Capitols,Omaha Lancers,"[7, 3]"
Green Bay Gamblers,Des Moines Buccaneers,"[1, 2]"
Sioux City,Youngstown Phantoms,"[2, 1]"
Fargo Force,Green Bay Gamblers,"[0, 2]"
Lincoln Stars,Madison Capitols,"[5, 2]"
Des Moines Buccaneers,Chicago Steel,"[2, 5]"
Omaha Lancers,Cedar Rapids,"[0, 4]"
Chicago Steel,Waterloo Black Hawks,"[0, 4]"
Muskegon Lumberjacks,Fargo Force,"[2, 4]"
Cedar Rapids,Lincoln Stars,"[3, 1]"
USA U18,Sioux Falls Stampede,"[3, 6]"
Waterloo Black Hawks,USA U18,"[2, 5]"
Dubuque Fighting Saints,Tri-City Storm,"[5, 1]"
Lincoln Stars,Green Bay Gamblers,"[9, 1]"
Fargo Force,USA U18,"[4, 1]"
Chicago Steel,Youngstown Phantoms,"[3, 2]"
Fargo Force,USA U18,"[2, 5]"
Sioux City,Sioux Falls Stampede,"[6, 3]"
Waterloo Black Hawks,Des Moines Buccaneers,"[4, 3]"
Cedar Rapids,Tri-City Storm,"[1, 4]"
Madison Capitols,Muskegon Lumberjacks,"[0, 1]"
Des Moines Buccaneers,Waterloo Black Hawks,"[2, 4]"
Tri-City Storm,Madison Capitols,"[2, 3]"
Dubuque Fighting Saints,Chicago Steel,"[5, 2]"
Cedar Rapids,Youngstown Phantoms,"[4, 2]"
Green Bay Gamblers,Omaha Lancers,"[3, 0]"
Green Bay Gamblers,Omaha Lancers,"[4, 2]"
Sioux Falls Stampede,Lincoln Stars,"[2, 3]"
Cedar Rapids,Youngstown Phantoms,"[2, 3]"
Fargo Force,Dubuque Fighting Saints,"[4, 7]"
Sioux Falls Stampede,Dubuque Fighting Saints,"[6, 3]"
Waterloo Black Hawks,Muskegon Lumberjacks,"[6, 2]"
Sioux City,USA U18,"[7, 2]"
Lincoln Stars,Des Moines Buccaneers,"[4, 3]"
Fargo Force,Cedar Rapids,"[5, 0]"
Des Moines Buccaneers,Muskegon Lumberjacks,"[3, 4]"
Lincoln Stars,Waterloo Black Hawks,"[3, 0]"
Omaha Lancers,Chicago Steel,"[2, 0]"
Sioux City,USA U18,"[4, 5]"
Sioux Falls Stampede,Cedar Rapids,"[5, 3]"
Madison Capitols,Green Bay Gamblers,"[5, 2]"
Tri-City Storm,Waterloo Black Hawks,"[2, 6]"
Omaha Lancers,Chicago Steel,"[5, 1]"
