sport,league,samples,ml_binary_accuracy
football,EPL,252,0.654
football,LaLiga,247,0.64
football,SerieA,241,0.6
football,Ligue1,210,0.524
football,Bundesliga,192,0.7
football,Eredivisie,196,0.75
football,PrimeiraLiga,190,0.684
football,LigaMX,224,0.522
football,MLS,338,0.618
football,BrasileiraoA,242,0.56
baseball,MLB,2814,0.472
baseball,NPB,1437,0.542
baseball,KBO,745,0.507
baseball,LMB,904,0.516
baseball,CPBL,111,0.583
hockey,NHL,1108,0.532
hockey,AHL,899,0.511
hockey,ECHL,808,0.556
hockey,OHL,199,0.4
hockey,WHL,397,0.575
