match,predicted_winner,actual_winner,correct,rhythm_home,rhythm_away,common_pattern
Newcastle United FC vs Manchester City FC,Manchester City FC,DRAW,False,0.4,0.8,WD
Arsenal FC vs Leicester City FC,Arsenal FC,Arsenal FC,True,0.6,-0.4,D
Brentford FC vs West Ham United FC,Brentford FC,DRAW,False,-0.2,-0.4,LWL
Chelsea FC vs Brighton & Hove Albion FC,DRAW,Chelsea FC,False,0.4,0.4,WD
Everton FC vs Crystal Palace FC,Crystal Palace FC,Everton FC,False,-0.8,-0.4,LLD
Nottingham Forest FC vs Fulham FC,Nottingham Forest FC,Fulham FC,False,0.4,0.2,DW
Wolverhampton Wanderers FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,-0.8,0.6,L
Ipswich Town FC vs Aston Villa FC,Aston Villa FC,DRAW,False,-0.4,0.6,L
Manchester United FC vs Tottenham Hotspur FC,DRAW,Tottenham Hotspur FC,False,0.0,0.0,WLLW
AFC Bournemouth vs Southampton FC,AFC Bournemouth,AFC Bournemouth,True,-0.2,-0.8,LL
Crystal Palace FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,-0.4,0.6,L
Arsenal FC vs Southampton FC,Arsenal FC,Arsenal FC,True,0.6,-0.8,D
Brentford FC vs Wolverhampton Wanderers FC,Brentford FC,Brentford FC,True,-0.4,-0.8,LL
Leicester City FC vs AFC Bournemouth,AFC Bournemouth,Leicester City FC,False,-0.6,0.0,LL
Manchester City FC vs Fulham FC,DRAW,Manchester City FC,False,0.6,0.6,WDD
West Ham United FC vs Ipswich Town FC,DRAW,West Ham United FC,False,-0.2,-0.2,LD
Everton FC vs Newcastle United FC,Newcastle United FC,DRAW,False,-0.4,0.2,LD
Aston Villa FC vs Manchester United FC,Aston Villa FC,DRAW,False,0.4,-0.4,LW
Chelsea FC vs Nottingham Forest FC,Chelsea FC,DRAW,False,0.8,0.2,WDW
Brighton & Hove Albion FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,False,0.0,0.2,W
Tottenham Hotspur FC vs West Ham United FC,DRAW,Tottenham Hotspur FC,False,-0.2,-0.2,L
Fulham FC vs Aston Villa FC,Aston Villa FC,Aston Villa FC,True,0.2,0.6,DD
Ipswich Town FC vs Everton FC,DRAW,Everton FC,False,-0.2,-0.2,D
Manchester United FC vs Brentford FC,Brentford FC,Manchester United FC,False,-0.2,0.0,LD
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,False,0.2,0.0,DD
Southampton FC vs Leicester City FC,Leicester City FC,Leicester City FC,True,-0.8,-0.2,LD
AFC Bournemouth vs Arsenal FC,Arsenal FC,AFC Bournemouth,False,-0.2,0.6,W
Wolverhampton Wanderers FC vs Manchester City FC,Manchester City FC,Manchester City FC,True,-0.8,0.6,D
Liverpool FC vs Chelsea FC,DRAW,Liverpool FC,False,0.6,0.6,WWW
Nottingham Forest FC vs Crystal Palace FC,Nottingham Forest FC,Nottingham Forest FC,True,0.0,-0.4,DL
Leicester City FC vs Nottingham Forest FC,DRAW,Nottingham Forest FC,False,0.2,0.2,DL
Aston Villa FC vs AFC Bournemouth,Aston Villa FC,DRAW,False,0.6,-0.2,W
Brentford FC vs Ipswich Town FC,DRAW,Brentford FC,False,-0.4,-0.4,LL
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,DRAW,False,0.2,-1.0,L
Manchester City FC vs Southampton FC,Manchester City FC,Manchester City FC,True,0.6,-0.8,D
Everton FC vs Fulham FC,Everton FC,DRAW,False,0.2,0.0,DW
Chelsea FC vs Newcastle United FC,Chelsea FC,Chelsea FC,True,0.4,-0.2,DL
Crystal Palace FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Crystal Palace FC,False,-0.6,0.2,L
West Ham United FC vs Manchester United FC,Manchester United FC,West Ham United FC,False,-0.2,0.2,DLDW
Arsenal FC vs Liverpool FC,Liverpool FC,DRAW,False,0.4,0.6,WW
Newcastle United FC vs Arsenal FC,Arsenal FC,Newcastle United FC,False,-0.6,0.2,LD
AFC Bournemouth vs Manchester City FC,Manchester City FC,AFC Bournemouth,False,0.0,0.6,W
Ipswich Town FC vs Leicester City FC,Leicester City FC,DRAW,False,-0.6,0.0,DL
Liverpool FC vs Brighton & Hove Albion FC,Liverpool FC,Liverpool FC,True,0.8,0.2,WWD
Nottingham Forest FC vs West Ham United FC,Nottingham Forest FC,Nottingham Forest FC,True,0.2,0.0,LDW
Southampton FC vs Everton FC,Everton FC,Southampton FC,False,-0.8,0.4,D
Wolverhampton Wanderers FC vs Crystal Palace FC,Crystal Palace FC,DRAW,False,-0.8,-0.4,LLL
Tottenham Hotspur FC vs Aston Villa FC,Aston Villa FC,Tottenham Hotspur FC,False,0.2,0.4,W
Manchester United FC vs Chelsea FC,Chelsea FC,DRAW,False,-0.2,0.4,DL
Fulham FC vs Brentford FC,DRAW,Fulham FC,False,0.0,0.0,WL
Brentford FC vs AFC Bournemouth,AFC Bournemouth,Brentford FC,False,0.0,0.4,WLW
Crystal Palace FC vs Fulham FC,Fulham FC,Fulham FC,True,-0.4,0.0,LL
West Ham United FC vs Everton FC,Everton FC,DRAW,False,0.0,0.2,DW
Wolverhampton Wanderers FC vs Southampton FC,DRAW,Wolverhampton Wanderers FC,False,-0.6,-0.6,LLL
Brighton & Hove Albion FC vs Manchester City FC,Manchester City FC,Brighton & Hove Albion FC,False,0.0,0.4,WW
Liverpool FC vs Aston Villa FC,Liverpool FC,Liverpool FC,True,0.8,0.0,WD
Manchester United FC vs Leicester City FC,Leicester City FC,Manchester United FC,False,-0.2,0.0,WLD
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,False,0.4,-0.2,L
Tottenham Hotspur FC vs Ipswich Town FC,Tottenham Hotspur FC,Ipswich Town FC,False,0.2,-0.6,L
Chelsea FC vs Arsenal FC,Chelsea FC,DRAW,False,0.2,0.0,DL
Leicester City FC vs Chelsea FC,DRAW,Chelsea FC,False,0.0,0.0,DL
AFC Bournemouth vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,True,0.0,0.4,LW
Arsenal FC vs Nottingham Forest FC,Nottingham Forest FC,Arsenal FC,False,-0.2,0.4,WL
